date,value
2020-01-01,99982.17074656812
2020-02-03,103736.72920953693
2020-03-02,97231.16747346321
2020-04-01,97231.16747346321
2020-05-04,97231.16747346321
2020-06-01,97231.16747346321
2020-07-01,97231.16747346321
2020-08-03,97213.91304883406
2020-09-01,104108.72513717634
2020-10-01,117094.91088333497
2020-11-02,121627.93554644781
2020-12-01,143256.87984660125
2021-01-01,154239.4080042342
2021-02-01,155227.99623830087
2021-03-01,184437.152279482
2021-04-01,206822.1997037984
2021-05-03,212716.60759344976
2021-06-01,229761.49698817378
2021-07-01,246377.8173839413
2021-08-02,257847.2924053036
2021-09-01,274225.9992229305
2021-10-01,277045.6436321102
2021-11-01,277026.7637029255
2021-12-01,301294.22505724913
2022-01-03,340297.0139976788
2022-02-01,344664.728902464
2022-03-02,313028.899140256
2022-04-01,312972.1642471928
2022-05-02,328369.282182618
2022-06-01,328369.282182618
2022-07-01,328369.282182618
2022-08-01,328310.3108850827
2022-09-01,351395.17589071085
2022-10-03,347492.9994064302
2022-11-01,377004.50520477
2022-12-01,386124.3215194673
2023-01-02,381540.03804100223
2023-02-01,340247.44025987055
2023-03-01,349110.1789633649
2023-04-03,349110.1789633649
2023-05-02,349046.8659084075
2023-06-01,383997.0217311614
2023-07-03,412308.3184970107
2023-08-01,422664.6142123427
2023-09-01,422994.43218582124
2023-10-03,416681.7086823007
2023-11-01,430506.589239476
2023-12-01,525001.4979508391
2024-01-01,554923.8546292323
2024-02-01,600305.3515774745
2024-03-01,604861.890440666
2024-04-01,643213.7857261291
2024-05-02,697919.6607734903
2024-06-03,726352.3247372985
2024-07-01,768691.377036798
2024-08-01,794365.3403775573
2024-09-02,814302.581970236
2024-10-01,900308.6343754063
2024-11-01,863409.8548698168
2024-12-02,843261.0861333236
