symbol,date,price_mult,source
MATRIXLABS,2005-01-13,0.1,heuristic
IPCALAB,2005-01-28,0.5,yfinance
SESAGOA,2005-02-16,0.5,heuristic
VYSYABANK,2005-02-21,0.333333,heuristic
SURANATELE,2005-02-24,0.5,heuristic
MOTOGENFIN,2005-03-01,2.0,heuristic
KPIT,2005-03-03,0.5,heuristic
RICOAUTO,2005-03-11,0.1,heuristic
STERLINBIO,2005-03-18,0.5,heuristic
BALRAMCHIN,2005-03-23,0.1,yfinance
JBCHEPHARM,2005-04-05,0.2,yfinance
HEXAWARE,2005-04-28,0.2,heuristic
INDSWFTLTD,2005-04-29,0.2,heuristic
CARBORUNIV,2005-06-23,0.5,yfinance
BHARATFORG,2005-07-20,0.2,yfinance
HAVELLS,2005-08-04,0.5,yfinance
KIRLOSOIL,2005-08-10,0.2,heuristic
OPTOCIRCUI,2005-08-16,0.666667,yfinance
SHASUNCHEM,2005-08-19,0.2,heuristic
TATAINVEST,2005-08-22,0.666667,yfinance
WIPRO,2005-08-22,0.5,yfinance
KOTAKBANK,2005-08-25,0.428571,yfinance
ASAHIINDIA,2005-09-01,0.5,yfinance
M&M,2005-09-01,0.5,yfinance
DCW,2005-09-20,0.2,heuristic
PIDILITIND,2005-09-20,0.111111,yfinance
ITC,2005-09-21,0.066667,yfinance
SURYALAXMI,2005-10-10,0.5,heuristic
TAJGVK,2005-10-10,0.2,heuristic
HIMATSEIDE,2005-10-14,0.25,yfinance
KAJARIACER,2005-10-19,0.2,yfinance
ZODIACLOTH,2005-10-24,0.5,heuristic
HINDCONS,2005-11-08,0.1,heuristic
MPHASISBFL,2005-11-11,0.5,heuristic
COROMNFERT,2006-01-02,0.2,heuristic
SUBEX,2006-01-05,0.5,heuristic
GAEL,2006-01-06,0.2,heuristic
DABUR,2006-01-19,0.5,yfinance
TORNTPHARM,2006-02-20,0.25,yfinance
KCPSUGIND,2006-03-08,0.1,heuristic
IVRCLINFRA,2006-03-29,0.2,heuristic
THERMAX,2006-03-31,0.2,yfinance
CIPLA,2006-04-24,0.4,yfinance
SIEMENS,2006-06-13,0.181818,yfinance
UNITECH,2006-06-23,0.02,yfinance
INFOSYSTCH,2006-07-13,0.5,heuristic
KARURVYSYA,2006-07-19,0.444444,yfinance
HAVELLS,2006-07-20,0.5,yfinance
TCS,2006-07-28,0.5,yfinance
LUPIN,2006-08-11,0.5,yfinance
GODREJCP,2006-08-24,0.25,yfinance
GODREJIND,2006-08-25,0.181818,yfinance
DRREDDY,2006-08-28,0.5,yfinance
CADILAHC,2006-08-30,0.5,heuristic
SUPERSPIN,2006-09-01,0.1,heuristic
EXIDEIND,2006-09-08,0.111111,yfinance
BLUESTARCO,2006-09-20,0.2,yfinance
NAGARCONST,2006-09-20,0.5,heuristic
VOLTAS,2006-09-22,0.1,yfinance
ALEMBICLTD,2006-09-26,0.181818,yfinance
LT,2006-09-28,0.5,yfinance
SATYAMCOMP,2006-10-09,0.5,heuristic
BERGEPAINT,2006-10-12,0.666667,yfinance
INDHOTEL,2006-10-27,0.1,yfinance
ONGC,2006-10-27,0.7,yfinance
OPTOCIRCUI,2006-10-30,0.5,yfinance
SUPREMEIND,2006-11-13,0.5,yfinance
TCI,2006-12-05,0.2,heuristic
PANTALOONR,2006-12-12,0.2,heuristic
HTMEDIA,2006-12-28,0.2,yfinance
SUNDRMFAST,2007-01-04,0.5,yfinance
FINCABLES,2007-01-08,0.2,yfinance
APARINDS,2007-01-11,0.777778,yfinance
DABUR,2007-01-25,0.625,yfinance
GOKEX,2007-02-08,0.5,heuristic
MARICO,2007-02-21,0.1,yfinance
HCLTECH,2007-03-15,0.5,yfinance
NRBBEARING,2007-03-26,0.2,heuristic
PUNJLLOYD,2007-03-29,0.2,yfinance
GUJRATGAS,2007-05-15,0.2,heuristic
PAPERPROD,2007-05-25,0.2,heuristic
BHEL,2007-05-31,0.5,yfinance
ABB,2007-06-28,0.222222,yfinance
SUNTV,2007-07-23,0.25,heuristic
DIVISLAB,2007-08-03,0.2,yfinance
NUCLEUS,2007-08-03,0.5,heuristic
APOLLOTYRE,2007-08-17,0.111111,yfinance
EKC,2007-08-21,0.2,heuristic
SANGHVIMOV,2007-08-23,0.2,heuristic
3IINFOTECH,2007-08-27,0.5,heuristic
UNITECH,2007-08-30,0.5,yfinance
GLENMARK,2007-09-10,0.5,yfinance
