symbol,date,price_mult
TMPV,1995-10-04,0.625
RAYMOND,1996-10-07,0.66666667
INFY,1997-08-19,0.5
WIPRO,1997-10-20,0.33333333
RELIANCE,1997-10-27,0.5
INFY,1999-02-10,0.5
BRITANNIA,1999-09-24,0.66666667
IOC,1999-09-27,0.5
WIPRO,1999-09-27,0.2
HINDPETRO,1999-10-11,0.66666667
CIPLA,1999-10-18,0.33333333
INFY,2000-01-24,0.5
INFY,2000-01-27,0.5
SUNPHARMA,2000-03-08,0.33333333
HINDUNILVR,2000-07-10,0.1
MARICO,2000-08-02,0.625
BPCL,2000-12-20,0.5
DRREDDY,2001-10-10,0.5
MARICO,2002-08-14,0.5
ASAHIINDIA,2002-10-08,0.1
KARURVYSYA,2002-10-18,0.5
KTKBANK,2002-10-25,0.5
SUNPHARMA,2003-01-13,0.5
PANACEABIO,2003-02-03,0.1
MPHASIS,2003-07-02,0.5
EXIDEIND,2003-07-03,0.5
IOC,2003-08-14,0.66666667
ASIANPAINT,2003-08-22,0.66666667
OFSS,2003-09-05,0.5
THERMAX,2003-09-08,0.33333333
HIKAL,2003-09-29,0.66666667
AUROPHARMA,2003-10-23,0.5
GLENMARK,2003-10-23,0.2
OPTOCIRCUI,2003-11-10,0.83333333
TVSMOTOR,2003-12-18,0.1
JINDALSTEL,2003-12-22,0.5
HAVELLS,2003-12-30,0.5
SUNDRMFAST,2004-01-27,0.1
ALEMBICLTD,2004-03-25,0.5
BAJAJHIND,2004-04-28,0.1
MARICO,2004-05-06,0.5
CIPLA,2004-05-11,0.2
LT,2004-05-19,2.0
MPHASIS,2004-05-26,0.5
SUNPHARMA,2004-05-27,0.5
WIPRO,2004-06-25,0.33333333
INFY,2004-07-01,0.25
BOSCHLTD,2004-07-08,0.1
TATASTEEL,2004-08-11,0.66666667
KANSAINER,2004-08-13,0.6
CARBORUNIV,2004-08-16,0.2
KOTAKBANK,2004-08-25,0.5
OPTOCIRCUI,2004-10-20,0.76923077
FEDERALBNK,2004-11-29,0.33333333
IPCALAB,2005-01-28,0.5
VEDL,2005-02-16,0.5
JSWSTEEL,2005-02-21,22.85714286
MOTHERSON,2005-02-24,0.66666667
BALRAMCHIN,2005-03-23,0.1
JBCHEPHARM,2005-04-05,0.2
WELCORP,2005-04-20,1.42857143
ABAN,2005-05-04,0.2
AMBUJACEM,2005-06-20,0.2
CARBORUNIV,2005-06-23,0.5
BHARATFORG,2005-07-20,0.2
HAVELLS,2005-08-04,0.5
OPTOCIRCUI,2005-08-16,0.66666667
TATAINVEST,2005-08-22,0.66666667
WIPRO,2005-08-22,0.5
KOTAKBANK,2005-08-25,0.4
HINDALCO,2005-08-30,0.1
