Date,nifty500,nifty50,nifty100,nifty_midcap
2018-01-01,9434.4873046875,,10897.75,21109.80078125
2018-01-02,9417.8369140625,10442.2001953125,10899.2998046875,20959.69921875
2018-01-03,9439.3369140625,10443.2001953125,10910.0498046875,21101.30078125
2018-01-04,9505.7373046875,10504.7998046875,10982.150390625,21308.349609375
2018-01-05,9573.4375,10558.849609375,11051.25,21499.849609375
2018-01-08,9639.2373046875,10623.599609375,11120.5498046875,21719.05078125
2018-01-09,9640.7373046875,10637.0,11125.0,21693.400390625
2018-01-10,9630.5869140625,10632.2001953125,11117.4501953125,21662.25
2018-01-11,9650.287109375,10651.2001953125,11132.400390625,21719.19921875
2018-01-12,9665.1875,10681.25,11159.099609375,21694.55078125
2018-01-15,9699.8369140625,10741.5498046875,11207.75,21697.349609375
2018-01-16,9612.5869140625,10700.4501953125,11142.7998046875,21297.25
2018-01-17,9686.5869140625,10788.5498046875,11232.75,21516.44921875
2018-01-18,9646.787109375,10817.0,11234.5,21098.0
2018-01-19,9723.0869140625,10894.7001953125,11315.75,21308.80078125
2018-01-22,9787.287109375,10966.2001953125,11391.2001953125,21507.5
2018-01-23,9877.1875,11083.7001953125,11506.650390625,21731.80078125
2018-01-24,9853.8876953125,11086.0,11497.4501953125,21637.05078125
2018-01-25,9809.9873046875,11069.650390625,11459.0498046875,21455.75
2018-01-29,9819.4375,11130.400390625,11505.4501953125,21272.849609375
2018-01-30,9743.037109375,11049.650390625,11424.599609375,21102.5
2018-01-31,9697.8876953125,11027.7001953125,11393.5498046875,20785.19921875
2018-02-01,9687.037109375,11016.900390625,11385.150390625,20657.400390625
2018-02-02,9409.787109375,10760.599609375,11111.2001953125,19760.349609375
2018-02-05,9344.3876953125,10666.5498046875,11023.849609375,19721.650390625
2018-02-06,9190.5380859375,10498.25,10851.650390625,19402.150390625
2018-02-07,9206.337890625,10476.7001953125,10844.7001953125,19480.19921875
2018-02-08,9322.5869140625,10576.849609375,10958.9501953125,19827.599609375
2018-02-09,9251.087890625,10454.9501953125,10846.099609375,19872.25
2018-02-12,9348.4375,10539.75,10945.150390625,20149.599609375
2018-02-14,9326.6875,10500.900390625,10908.150390625,20152.05078125
2018-02-15,9323.5869140625,10545.5,10932.0498046875,19927.599609375
2018-02-16,9235.587890625,10452.2998046875,10831.349609375,19701.30078125
2018-02-19,9159.9384765625,10378.400390625,10748.349609375,19490.650390625
2018-02-20,9151.0380859375,10360.400390625,10740.0,19486.69921875
2018-02-21,9167.587890625,10397.4501953125,10765.5,19474.80078125
2018-02-22,9138.48828125,10382.7001953125,10737.349609375,19375.099609375
2018-02-23,9251.337890625,10491.0498046875,10857.849609375,19708.400390625
2018-02-26,9332.6376953125,10582.599609375,10953.7998046875,19854.75
2018-02-27,9302.23828125,10554.2998046875,10922.75,19681.94921875
2018-02-28,9261.888671875,10492.849609375,10861.400390625,19664.900390625
2018-03-01,9225.337890625,10458.349609375,10820.0,19512.30078125
2018-03-05,9136.087890625,10358.849609375,10714.599609375,19327.400390625
2018-03-06,9039.7880859375,10249.25,10603.099609375,19097.55078125
2018-03-07,8936.837890625,10154.2001953125,10501.400390625,18795.30078125
2018-03-08,9000.6884765625,10242.650390625,10578.0,18887.19921875
2018-03-09,8986.388671875,10226.849609375,10564.5498046875,18773.150390625
2018-03-12,9121.73828125,10421.400390625,10747.650390625,18960.75
2018-03-13,9157.888671875,10426.849609375,10772.0498046875,19107.650390625
2018-03-14,9151.5380859375,10410.900390625,10760.0,19183.69921875
2018-03-15,9133.888671875,10360.150390625,10716.0498046875,19258.849609375
2018-03-16,9004.4384765625,10195.150390625,10556.2001953125,19055.44921875
2018-03-19,8894.1884765625,10094.25,10444.0498046875,18764.349609375
2018-03-20,8920.4384765625,10124.349609375,10478.150390625,18836.5
2018-03-21,8949.087890625,10155.25,10511.75,18906.75
2018-03-22,8903.98828125,10114.75,10470.400390625,18747.80078125
2018-03-23,8800.7880859375,9998.0498046875,10357.599609375,18474.0
2018-03-26,8914.337890625,10130.650390625,10497.5498046875,18712.75
2018-03-27,8978.087890625,10184.150390625,10556.599609375,18959.44921875
2018-03-28,8912.087890625,10113.7001953125,10478.400390625,18757.0
2018-04-02,9023.587890625,10211.7998046875,10596.0,19097.400390625
2018-04-03,9074.837890625,10245.0,10643.900390625,19266.05078125
2018-04-04,8975.587890625,10128.400390625,10523.599609375,19040.849609375
2018-04-05,9146.138671875,10325.150390625,10726.25,19418.94921875
2018-04-06,9172.0380859375,10331.599609375,10750.349609375,19519.25
2018-04-09,9205.1884765625,10379.349609375,10792.599609375,19594.69921875
2018-04-10,9219.138671875,10402.25,10810.4501953125,19630.94921875
2018-04-11,9230.837890625,10417.150390625,10826.150390625,19633.19921875
2018-04-12,9247.23828125,10458.650390625,10860.349609375,19571.55078125
2018-04-13,9267.638671875,10480.599609375,10879.349609375,19676.19921875
2018-04-16,9311.287109375,10528.349609375,10928.9501953125,19834.349609375
2018-04-17,9330.287109375,10548.7001953125,10950.0498046875,19860.25
2018-04-18,9311.5869140625,10526.2001953125,10928.4501953125,19841.44921875
2018-04-19,9356.3876953125,10565.2998046875,10974.75,19974.099609375
2018-04-20,9347.6376953125,10564.0498046875,10966.849609375,19905.75
2018-04-23,9373.3876953125,10584.7001953125,10993.2998046875,20006.44921875
2018-04-24,9390.3876953125,10614.349609375,11022.349609375,19994.150390625
2018-04-25,9349.9375,10570.5498046875,10980.5498046875,19912.900390625
2018-04-26,9381.3369140625,10617.7998046875,11018.75,19987.0
2018-04-27,9443.6376953125,10692.2998046875,11095.0,20120.80078125
2018-04-30,9496.4873046875,10739.349609375,11145.900390625,20290.30078125
2018-05-02,9444.4873046875,10718.0498046875,11105.900390625,19987.75
2018-05-03,9388.6376953125,10679.650390625,11051.099609375,19775.0
2018-05-04,9339.7373046875,10618.25,10986.5,19720.0
2018-05-07,9418.787109375,10715.5,11085.0498046875,19867.75
2018-05-08,9419.8369140625,10717.7998046875,11082.2001953125,19839.05078125
2018-05-09,9418.8876953125,10741.7001953125,11095.0,19733.849609375
2018-05-10,9360.9375,10716.5498046875,11052.5,19423.900390625
2018-05-11,9416.3369140625,10806.5,11131.9501953125,19507.099609375
2018-05-14,9389.9375,10806.599609375,11124.099609375,19275.25
2018-05-15,9365.8876953125,10801.849609375,11113.7001953125,19097.099609375
2018-05-16,9328.6875,10741.099609375,11058.7001953125,19082.900390625
2018-05-17,9304.4384765625,10682.7001953125,11006.900390625,19153.30078125
2018-05-18,9209.1884765625,10596.400390625,10908.0498046875,18891.80078125
2018-05-21,9108.6884765625,10516.7001953125,10814.599609375,18571.25
2018-05-22,9145.638671875,10536.7001953125,10852.7998046875,18619.19921875
2018-05-23,9069.7880859375,10430.349609375,10750.5498046875,18506.80078125
2018-05-24,9115.5380859375,10513.849609375,10827.25,18427.650390625
2018-05-25,9215.5380859375,10605.150390625,10934.0,18787.400390625
2018-05-28,9307.5380859375,10688.650390625,11033.5498046875,19051.55078125
2018-05-29,9270.587890625,10633.2998046875,10983.2998046875,18985.05078125
2018-05-30,9254.98828125,10614.349609375,10961.599609375,18975.30078125
2018-05-31,9315.3369140625,10736.150390625,11064.150390625,18903.30078125
2018-06-01,9255.087890625,10696.2001953125,11013.849609375,18635.69921875
