start,end,start_year,duration,trade_days,trades,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,final_val
2007-01-01,2008-12-31,2007,2,222,44,-16.3,-1.771,-1.985,-18.8,-0.867,0.0,86519.0
2007-01-01,2009-12-31,2007,3,465,176,21.5,0.704,1.08,-21.8,0.989,36.4,145058.0
2007-01-01,2010-12-31,2007,4,716,315,25.7,0.889,1.249,-21.8,1.181,47.1,193931.0
2007-01-01,2011-12-31,2007,5,962,413,12.6,0.382,0.539,-24.5,0.515,35.6,159240.0
2007-01-01,2012-12-31,2007,6,1207,584,15.9,0.555,0.769,-25.8,0.617,42.1,205175.0
2007-01-01,2013-12-31,2007,7,1455,764,12.9,0.414,0.569,-25.8,0.5,42.0,203760.0
2007-01-01,2014-12-31,2007,8,1699,828,21.2,0.81,1.108,-25.8,0.824,48.8,370843.0
2007-01-01,2015-12-31,2007,9,1945,945,17.6,0.62,0.8,-25.8,0.683,47.8,353889.0
2007-01-01,2016-12-31,2007,10,2191,1085,16.8,0.587,0.748,-25.8,0.653,48.1,391450.0
2007-01-01,2017-12-31,2007,11,2439,1161,22.7,0.851,1.091,-25.8,0.88,52.6,731588.0
2007-01-01,2018-12-31,2007,12,2685,1404,16.4,0.565,0.719,-35.7,0.46,50.4,511210.0
2007-01-01,2019-12-31,2007,13,2928,1559,14.5,0.481,0.612,-43.3,0.335,48.2,487534.0
2007-01-01,2020-12-31,2007,14,3179,1648,18.3,0.656,0.845,-43.3,0.422,49.7,840756.0
2007-01-01,2021-12-31,2007,15,3427,1718,23.7,0.877,1.141,-43.3,0.548,51.5,1824051.0
2007-01-01,2022-12-31,2007,16,3675,1894,21.6,0.779,0.997,-43.3,0.499,51.1,1747048.0
2007-01-01,2023-12-31,2007,17,3920,2014,24.6,0.904,1.158,-43.3,0.568,52.2,3094648.0
2007-01-01,2024-12-31,2007,18,4166,2164,23.5,0.82,1.039,-43.3,0.542,52.0,3302785.0
2008-01-01,2008-12-31,2008,1,222,44,-16.3,-1.771,-1.985,-18.8,-0.867,0.0,86519.0
2008-01-01,2009-12-31,2008,2,465,176,21.5,0.704,1.08,-21.8,0.989,36.4,145058.0
2008-01-01,2010-12-31,2008,3,716,315,25.7,0.889,1.249,-21.8,1.181,47.1,193931.0
2008-01-01,2011-12-31,2008,4,962,413,12.6,0.382,0.539,-24.5,0.515,35.6,159240.0
2008-01-01,2012-12-31,2008,5,1207,584,15.9,0.555,0.769,-25.8,0.617,42.1,205175.0
2008-01-01,2013-12-31,2008,6,1455,764,12.9,0.414,0.569,-25.8,0.5,42.0,203760.0
2008-01-01,2014-12-31,2008,7,1699,828,21.2,0.81,1.108,-25.8,0.824,48.8,370843.0
2008-01-01,2015-12-31,2008,8,1945,945,17.6,0.62,0.8,-25.8,0.683,47.8,353889.0
2008-01-01,2016-12-31,2008,9,2191,1085,16.8,0.587,0.748,-25.8,0.653,48.1,391450.0
2008-01-01,2017-12-31,2008,10,2439,1161,22.7,0.851,1.091,-25.8,0.88,52.6,731588.0
2008-01-01,2018-12-31,2008,11,2685,1404,16.4,0.565,0.719,-35.7,0.46,50.4,511210.0
