top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
8,2,8,250,150,0,0,16,38.33,1.407,1.86,-35.26,1.087,54.1,1352,1.5288
8,2,8,150,150,0,0,16,36.73,1.352,1.788,-35.74,1.028,54.9,1670,1.3891
8,2,8,200,150,0,0,16,38.19,1.402,1.856,-35.63,1.072,52.5,1400,1.5023
8,2,13,200,150,0,0,21,39.96,1.472,1.956,-33.84,1.181,56.6,1301,1.7376
8,2,18,200,150,0,0,26,41.16,1.522,2.038,-30.8,1.337,57.4,1250,2.034
8,2,13,150,150,0,0,21,39.96,1.473,1.963,-33.63,1.188,56.6,1557,1.7498
8,2,13,250,150,0,0,21,41.24,1.517,2.013,-33.24,1.24,54.9,1259,1.8816
8,2,18,250,150,0,0,26,40.41,1.494,2.004,-31.75,1.273,57.4,1215,1.9018
12,2,8,200,150,0,0,20,36.48,1.418,1.85,-25.22,1.446,54.1,2572,2.0515
12,2,8,250,150,0,0,20,37.21,1.443,1.886,-26.33,1.413,55.7,2459,2.0389
8,2,23,250,150,0,0,31,40.59,1.499,2.002,-31.7,1.28,55.7,1200,1.9201
8,2,18,150,150,0,0,26,40.05,1.483,1.997,-31.54,1.27,56.6,1513,1.8829
8,2,8,150,200,0,0,16,35.21,1.257,1.645,-35.58,0.99,54.1,1694,1.2439
12,2,13,150,150,0,0,25,36.5,1.436,1.875,-23.79,1.534,54.9,2677,2.2037
12,2,8,150,150,0,0,20,34.8,1.353,1.756,-29.53,1.179,54.1,3165,1.5947
12,2,13,200,150,0,0,25,37.68,1.476,1.929,-22.75,1.656,54.1,2177,2.4448
12,2,13,250,150,0,0,25,36.69,1.432,1.879,-25.03,1.465,54.1,2064,2.0986
8,2,8,200,200,0,0,16,35.69,1.272,1.662,-38.61,0.924,51.6,1386,1.1752
10,2,8,200,150,0,0,18,41.35,1.563,2.067,-28.87,1.432,56.6,1901,2.239
12,2,18,250,150,0,0,30,36.62,1.438,1.871,-24.16,1.516,54.1,1963,2.1807
10,2,8,250,150,0,0,18,41.54,1.567,2.078,-28.69,1.448,56.6,1809,2.269
15,2,18,200,150,0,0,33,34.64,1.425,1.829,-20.8,1.666,54.9,2791,2.3742
8,2,23,200,150,0,0,31,39.97,1.482,1.985,-31.04,1.287,54.9,1243,1.9077
7,3,8,250,150,0,0,15,38.93,1.405,1.896,-31.78,1.225,52.5,1124,1.7214
8,2,13,150,200,0,0,21,39.42,1.414,1.873,-32.69,1.206,56.6,1594,1.7051
12,2,23,200,150,0,0,35,37.34,1.479,1.931,-22.82,1.636,54.1,1979,2.4198
8,2,18,150,200,0,0,26,38.45,1.384,1.85,-33.42,1.15,57.4,1563,1.5917
15,2,13,150,150,0,0,28,33.42,1.368,1.752,-24.5,1.364,55.7,3879,1.8662
15,2,18,250,150,0,0,33,35.46,1.461,1.878,-21.13,1.678,54.9,2639,2.4521
15,2,13,250,150,0,0,28,34.44,1.401,1.8,-23.19,1.485,56.6,2998,2.0812
12,2,18,150,150,0,0,30,35.89,1.423,1.843,-21.8,1.646,54.9,2502,2.3422
8,2,23,150,150,0,0,31,38.79,1.443,1.943,-31.63,1.226,53.3,1512,1.7695
8,2,8,250,200,0,0,16,35.76,1.274,1.674,-37.6,0.951,52.5,1340,1.2119
12,2,18,200,150,0,0,30,36.7,1.456,1.901,-24.06,1.526,54.1,2053,2.2209
15,2,13,200,150,0,0,28,34.69,1.416,1.82,-23.16,1.498,56.6,3199,2.1211
12,2,23,150,150,0,0,35,37.0,1.473,1.92,-22.11,1.673,55.7,2416,2.4648
8,2,13,200,200,0,0,21,38.89,1.392,1.842,-36.76,1.058,54.1,1287,1.4727
15,2,23,200,150,100,0,38,32.02,1.322,1.706,-20.92,1.531,55.7,2682,2.0239
15,4,13,200,150,0,0,28,38.56,1.52,1.958,-21.74,1.773,54.9,2481,2.6948
7,4,8,250,150,0,0,15,36.91,1.334,1.796,-32.64,1.131,51.6,1104,1.5086
10,2,18,150,150,0,0,28,40.18,1.511,2.003,-25.74,1.561,54.9,1970,2.359
10,4,8,200,150,0,0,18,43.26,1.61,2.123,-28.51,1.517,57.4,1707,2.4422
15,2,18,150,150,100,0,33,30.93,1.284,1.651,-22.19,1.394,55.7,3492,1.7891
15,2,18,150,150,0,0,33,34.38,1.418,1.808,-22.73,1.512,55.7,3450,2.1446
10,4,8,250,150,0,0,18,41.54,1.551,2.051,-29.56,1.405,57.4,1617,2.1799
10,3,8,200,150,0,0,18,40.5,1.517,2.017,-33.14,1.222,57.4,1759,1.854
15,2,23,150,150,0,0,38,33.63,1.392,1.776,-20.81,1.616,56.6,3222,2.2501
8,2,18,250,200,0,0,26,38.05,1.365,1.813,-33.52,1.135,54.9,1209,1.5489
10,2,18,200,150,0,0,28,40.28,1.514,2.007,-24.36,1.653,55.7,1598,2.502
10,3,8,250,150,0,0,18,40.89,1.534,2.042,-31.54,1.296,57.4,1652,1.989
