top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
8,2,8,250,150,0,0,16,38.86,1.662,2.656,-15.6,2.491,50.5,972,4.1406
8,2,8,150,150,0,0,16,38.35,1.642,2.62,-16.32,2.35,51.6,1018,3.8582
8,2,8,200,150,0,0,16,38.36,1.645,2.61,-16.74,2.292,50.5,990,3.7698
8,2,13,200,150,0,0,21,36.45,1.576,2.429,-15.77,2.311,52.7,941,3.6425
8,2,18,200,150,0,0,26,35.18,1.547,2.396,-15.45,2.277,52.7,918,3.5232
8,2,13,150,150,0,0,21,36.4,1.558,2.457,-16.46,2.212,51.6,978,3.4469
8,2,13,250,150,0,0,21,36.4,1.556,2.446,-17.01,2.139,52.7,948,3.3279
8,2,18,250,150,0,0,26,35.72,1.546,2.438,-16.69,2.14,52.7,913,3.3095
12,2,8,200,150,0,0,20,35.66,1.61,2.421,-18.15,1.965,52.7,1682,3.1628
12,2,8,250,150,0,0,20,35.55,1.6,2.407,-18.01,1.974,53.8,1657,3.1589
8,2,23,250,150,0,0,31,33.65,1.45,2.263,-15.53,2.166,52.7,898,3.1403
8,2,18,150,150,0,0,26,34.8,1.501,2.364,-17.25,2.017,51.6,953,3.0283
8,2,8,150,200,0,0,16,36.1,1.452,2.122,-17.4,2.075,48.4,907,3.0123
12,2,13,150,150,0,0,25,35.15,1.591,2.382,-18.71,1.879,54.9,1576,2.9897
12,2,8,150,150,0,0,20,34.64,1.56,2.334,-18.31,1.892,52.7,1763,2.9526
12,2,13,200,150,0,0,25,34.44,1.559,2.326,-18.28,1.884,56.0,1488,2.9373
12,2,13,250,150,0,0,25,34.44,1.55,2.318,-18.22,1.891,54.9,1470,2.9296
8,2,8,200,200,0,0,16,35.89,1.442,2.101,-17.91,2.004,47.3,854,2.8896
10,2,8,200,150,0,0,18,34.43,1.52,2.332,-18.12,1.9,50.5,1295,2.8872
12,2,18,250,150,0,0,30,34.7,1.56,2.328,-18.77,1.849,54.9,1437,2.8838
10,2,8,250,150,0,0,18,34.07,1.514,2.296,-18.0,1.892,50.5,1277,2.8653
15,2,18,200,150,0,0,33,33.74,1.58,2.325,-18.65,1.809,54.9,1931,2.8577
8,2,23,200,150,0,0,31,32.93,1.442,2.214,-16.68,1.975,52.7,913,2.8485
7,3,8,250,150,0,0,15,33.01,1.389,2.149,-16.19,2.04,51.6,858,2.8335
8,2,13,150,200,0,0,21,34.81,1.4,2.035,-17.29,2.014,49.5,865,2.8189
12,2,23,200,150,0,0,35,34.39,1.553,2.308,-19.0,1.81,54.9,1420,2.8118
8,2,18,150,200,0,0,26,33.63,1.372,2.002,-16.55,2.032,49.5,825,2.7885
15,2,13,150,150,0,0,28,34.3,1.603,2.361,-19.72,1.739,53.8,2169,2.7878
15,2,18,250,150,0,0,33,33.37,1.561,2.295,-18.73,1.782,54.9,1916,2.7806
15,2,13,250,150,0,0,28,34.0,1.594,2.352,-19.52,1.742,54.9,2021,2.776
12,2,18,150,150,0,0,30,34.18,1.537,2.292,-18.94,1.804,54.9,1538,2.7732
8,2,23,150,150,0,0,31,32.46,1.398,2.179,-16.37,1.983,51.6,948,2.7712
8,2,8,250,200,0,0,16,35.5,1.426,2.073,-18.32,1.937,48.4,844,2.762
12,2,18,200,150,0,0,30,34.19,1.54,2.295,-19.13,1.787,56.0,1453,2.7534
15,2,13,200,150,0,0,28,33.94,1.591,2.34,-19.64,1.728,54.9,2033,2.75
12,2,23,150,150,0,0,35,33.36,1.512,2.242,-18.42,1.812,53.8,1503,2.7393
8,2,13,200,200,0,0,21,34.32,1.377,1.993,-17.32,1.981,48.4,802,2.729
15,2,23,200,150,100,0,38,28.91,1.426,2.089,-15.21,1.901,52.7,1809,2.7097
15,4,13,200,150,0,0,28,34.04,1.562,2.305,-19.65,1.732,53.8,1815,2.706
7,4,8,250,150,0,0,15,32.16,1.353,2.078,-16.18,1.988,51.6,854,2.6892
10,2,18,150,150,0,0,28,33.61,1.495,2.302,-18.7,1.797,50.5,1194,2.6858
10,4,8,200,150,0,0,18,34.6,1.515,2.268,-19.55,1.77,51.6,1235,2.6819
