date,ticker,action,shares,price,value,cost
2020-01-01,ADANIGREEN,BUY,81,174.75,14154.75,16.752146624999998
2020-01-01,HDFCAMC,BUY,9,1429.759033203125,12867.831298828125,15.229078342163087
2020-01-01,BERGEPAINT,BUY,34,418.7224731445313,14236.564086914064,16.848973596862795
2020-01-01,SBILIFE,BUY,14,964.63427734375,13504.8798828125,15.983025341308593
2020-01-01,MCX,BUY,64,221.0686492919922,14148.3935546875,16.744623771972655
2020-01-01,NAUKRI,BUY,28,502.1135559082031,14059.179565429688,16.639039015686034
2020-01-01,MANAPPURAM,BUY,90,157.6727294921875,14190.545654296875,16.79451078186035
2020-02-03,HDFCAMC,SELL(100DMA),9,1383.771484375,12453.943359375,12.871150461914063
2020-02-03,SBILIFE,SELL(100DMA),14,901.65234375,12623.1328125,13.04600776171875
2020-02-03,HDFCAMC,BUY,10,1383.771484375,13837.71484375,16.376935517578126
2020-02-03,ICICIGI,BUY,11,1252.1605224609375,13773.765747070312,16.301251761657714
2020-03-02,ADANIGREEN,SELL(OFF),81,156.0500030517578,12640.050247192383,13.063491930473328
2020-03-02,HDFCAMC,SELL(OFF),10,1373.01708984375,13730.1708984375,14.190131623535155
2020-03-02,BERGEPAINT,SELL(OFF),34,452.2025451660156,15374.886535644531,15.889945234588623
2020-03-02,MCX,SELL(OFF),64,234.51071166992188,15008.685546875,15.511476512695312
2020-03-02,NAUKRI,SELL(OFF),28,526.1834716796875,14733.13720703125,15.226697303466796
2020-03-02,MANAPPURAM,SELL(OFF),90,143.23965454101562,12891.568908691406,13.323436467132568
2020-03-02,ICICIGI,SELL(OFF),11,1154.396240234375,12698.358642578125,13.123753657104492
2020-08-03,ADANIGREEN,BUY,40,339.79998779296875,13591.99951171875,16.08613142211914
2020-08-03,NAVINFLUOR,BUY,8,1728.7840576171875,13830.2724609375,16.36812745751953
2020-08-03,MUTHOOTFIN,BUY,11,1172.904296875,12901.947265625,15.269454588867188
2020-08-03,AUROPHARMA,BUY,16,837.6527099609375,13402.443359375,15.861791715820313
2020-08-03,HAL,BUY,34,399.614501953125,13586.89306640625,16.080087944091797
2020-08-03,BALKRISIND,BUY,11,1248.9515380859375,13738.466918945312,16.25947559857178
2020-08-03,IPCALAB,BUY,14,926.9671020507812,12977.539428710938,15.358917913879393
