date,ticker,action,shares,price,value,cost
2019-02-07,ADANIENT,BUY,41,122.41796112060548,5019.136405944825,5.9401479364357
2019-02-08,ADANIENT,SELL(RISK-OFF),41,122.2204360961914,5011.037879943848,5.1789076489219665
2019-03-05,NESTLEIND,BUY,37,478.4833679199219,17703.88461303711,20.952547439529422
2019-03-05,APOLLOHOSP,BUY,15,1167.77880859375,17516.68212890625,20.73099329956055
2019-03-06,NESTLEIND,SELL(100DMA),37,470.0486755371094,17391.800994873047,17.974426328201297
2019-03-06,APOLLOHOSP,SELL(100DMA),15,1168.61181640625,17529.17724609375,18.11640468383789
2019-03-06,NESTLEIND,BUY(replacement),30,470.0486755371094,14101.460266113281,16.68907822494507
2019-03-06,APOLLOHOSP,BUY(replacement),12,1168.61181640625,14023.341796875,16.596625016601564
2019-03-07,NESTLEIND,SELL(100DMA),30,464.70166015625,13941.0498046875,14.408074973144531
2019-03-07,APOLLOHOSP,SELL(100DMA),12,1162.928955078125,13955.1474609375,14.422644900878906
2019-03-07,NESTLEIND,BUY(replacement),30,464.70166015625,13941.0498046875,16.499232443847657
2019-03-07,APOLLOHOSP,BUY(replacement),12,1162.928955078125,13955.1474609375,16.51591702001953
2019-03-08,NESTLEIND,SELL(100DMA),30,459.77386474609375,13793.215942382812,14.255288676452638
2019-03-08,APOLLOHOSP,SELL(100DMA),12,1148.1837158203125,13778.20458984375,14.239774443603515
2019-03-08,NESTLEIND,BUY(replacement),30,459.77386474609375,13793.215942382812,16.32427106781006
2019-03-08,APOLLOHOSP,BUY(replacement),12,1148.1837158203125,13778.20458984375,16.306505132080076
2019-03-11,NESTLEIND,SELL(100DMA),30,468.775634765625,14063.26904296875,14.534388555908203
2019-03-11,APOLLOHOSP,SELL(100DMA),12,1179.682861328125,14156.1943359375,14.630426846191407
2019-03-11,NESTLEIND,BUY(replacement),30,468.775634765625,14063.26904296875,16.643878912353514
2019-03-11,APOLLOHOSP,BUY(replacement),12,1179.682861328125,14156.1943359375,16.753855996582033
2019-03-12,NESTLEIND,SELL(100DMA),30,474.9741821289063,14249.22546386719,14.72657451690674
2019-03-12,APOLLOHOSP,SELL(100DMA),12,1133.830322265625,13605.9638671875,14.06176365673828
2019-03-12,NESTLEIND,BUY(replacement),29,474.9741821289063,13774.251281738283,16.301826391937258
2019-03-12,APOLLOHOSP,BUY(replacement),12,1133.830322265625,13605.9638671875,16.102658236816406
2019-03-13,APOLLOHOSP,SELL(100DMA),12,1094.982421875,13139.7890625,13.57997199609375
2019-03-13,APOLLOHOSP,BUY(replacement),12,1094.982421875,13139.7890625,15.55094035546875
2019-03-14,APOLLOHOSP,SELL(100DMA),12,1109.0421142578125,13308.50537109375,13.75434030102539
2019-03-14,APOLLOHOSP,BUY(replacement),12,1109.0421142578125,13308.50537109375,15.750616106689453
2019-03-15,NESTLEIND,SELL(100DMA),29,468.64361572265625,13590.664855957031,14.045952128631592
2019-03-15,APOLLOHOSP,SELL(100DMA),12,1101.4000244140625,13216.80029296875,13.659563102783205
2019-03-15,NESTLEIND,BUY(replacement),29,468.64361572265625,13590.664855957031,16.084551857025147
2019-03-15,APOLLOHOSP,BUY(replacement),12,1101.4000244140625,13216.80029296875,15.642083146728517
2019-03-18,NESTLEIND,SELL(100DMA),29,476.23577880859375,13810.837585449219,14.273500644561768
2019-03-18,APOLLOHOSP,SELL(100DMA),12,1096.9910888671875,13163.89306640625,13.60488348413086
2019-03-18,NESTLEIND,BUY(replacement),29,476.23577880859375,13810.837585449219,16.34512628237915
2019-03-18,APOLLOHOSP,BUY(replacement),12,1096.9910888671875,13163.89306640625,15.579467444091797
2019-03-19,NESTLEIND,SELL(100DMA),29,487.6399841308594,14141.559539794922,14.615301784378053
2019-03-19,APOLLOHOSP,SELL(100DMA),12,1116.8314208984375,13401.97705078125,13.850943281982422
2019-03-19,NESTLEIND,BUY(replacement),29,487.6399841308594,14141.559539794922,16.73653571534729
2019-03-19,APOLLOHOSP,BUY(replacement),12,1116.8314208984375,13401.97705078125,15.861239839599609
2019-03-20,NESTLEIND,SELL(100DMA),29,479.5855407714844,13907.980682373047,14.373898035232545
2019-03-20,APOLLOHOSP,SELL(100DMA),12,1142.4031982421875,13708.83837890625,14.168084464599609
2019-03-20,NESTLEIND,BUY(replacement),29,479.5855407714844,13907.980682373047,16.4600951375885
2019-03-20,APOLLOHOSP,BUY(replacement),12,1142.4031982421875,13708.83837890625,16.224410221435548
2019-03-22,NESTLEIND,SELL(100DMA),29,482.7962646484375,14001.091674804688,14.470128245910644
2019-03-22,APOLLOHOSP,SELL(100DMA),12,1127.3145751953125,13527.77490234375,13.980955361572267
2019-03-22,NESTLEIND,BUY(replacement),29,482.7962646484375,14001.091674804688,16.57029199713135
2019-03-22,APOLLOHOSP,BUY(replacement),12,1127.3145751953125,13527.77490234375,16.010121596923828
2019-03-25,NESTLEIND,SELL(100DMA),29,479.501220703125,13905.535400390625,14.371370836303711
2019-03-25,APOLLOHOSP,SELL(100DMA),12,1123.83642578125,13486.037109375,13.937819352539064
2019-03-25,NESTLEIND,BUY(replacement),29,479.501220703125,13905.535400390625,16.457201146362305
2019-03-25,APOLLOHOSP,BUY(replacement),12,1123.83642578125,13486.037109375,15.960724918945314
2019-03-26,NESTLEIND,SELL(100DMA),29,486.9521179199219,14121.611419677734,14.594685402236937
2019-03-26,APOLLOHOSP,SELL(100DMA),12,1128.58837890625,13543.060546875,13.996753075195313
2019-03-26,NESTLEIND,BUY(replacement),29,486.9521179199219,14121.611419677734,16.7129271151886
2019-03-26,APOLLOHOSP,BUY(replacement),12,1128.58837890625,13543.060546875,16.028212157226562
2019-03-27,APOLLOHOSP,SELL(100DMA),12,1130.401123046875,13564.8134765625,14.019234728027344
2019-03-27,APOLLOHOSP,BUY(replacement),12,1130.401123046875,13564.8134765625,16.05395674951172
2019-03-28,APOLLOHOSP,SELL(100DMA),12,1159.0098876953125,13908.11865234375,14.374040627197266
2019-03-28,APOLLOHOSP,BUY(replacement),12,1159.0098876953125,13908.11865234375,16.460258425048828
2019-04-01,APOLLOHOSP,SELL(rank),12,1243.808349609375,14925.7001953125,15.425711151855468
2019-04-01,DIVISLAB,BUY(replacement),8,1641.8690185546875,13134.9521484375,15.545215867675783
2019-04-01,NESTLEIND,SELL(rotation),29,497.1199951171875,14416.479858398438,14.899431933654785
2019-04-01,WIPRO,BUY,119,120.11307525634766,14293.455955505371,16.916305123340607
2019-04-01,NAUKRI,BUY,40,358.6093139648437,14344.372558593748,16.9765649230957
2019-04-01,UPL,BUY,24,580.5018310546875,13932.0439453125,16.488574009277343
2019-04-01,COFORGE,BUY,58,245.6211700439453,14246.027862548828,16.86017397532654
2019-04-01,MUTHOOTFIN,BUY,26,537.3836059570312,13971.973754882812,16.535830938903807
2019-04-01,TECHM,BUY,23,607.954345703125,13982.949951171875,16.548821267211913
2019-05-02,WIPRO,SELL(rank),119,134.802978515625,16041.554443359375,16.578946517211914
2019-05-02,TECHM,SELL(rank),23,647.8138427734375,14899.718383789062,15.398858949645996
2019-05-02,BAJFINANCE,BUY(replacement),48,305.53570556640625,14665.7138671875,17.356872361816407
2019-05-02,GODFRYPHLP,BUY(replacement),46,316.0841369628906,14539.870300292969,17.20793650039673
2019-05-02,DIVISLAB,SELL(rotation),8,1633.29443359375,13066.35546875,13.504078376953125
2019-05-02,NAUKRI,SELL(rotation),40,381.6304626464844,15265.218505859375,15.776603325805663
2019-05-02,COFORGE,SELL(rotation),58,236.16603088378903,13697.629791259764,14.156500389266967
2019-05-02,MUTHOOTFIN,BUY,1,531.0714721679688,531.0714721679688,0.6285230873107911
2019-05-02,TITAN,BUY,13,1111.3765869140625,14447.895629882812,17.099084477966308
2019-05-02,AXISBANK,BUY,19,748.2924194335938,14217.555969238281,16.826477489593508
2019-05-02,INDIGO,BUY,9,1533.048095703125,13797.432861328125,16.329261791381835
2019-05-23,GODFRYPHLP,SELL(100DMA),46,291.25830078125,13397.8818359375,13.846710877441406
2019-05-23,GODFRYPHLP,BUY(replacement),52,291.25830078125,15145.431640625,17.924618346679686
2019-05-29,GODFRYPHLP,SELL(100DMA),52,290.9500732421875,15129.40380859375,15.63623883618164
2019-05-29,GODFRYPHLP,BUY(replacement),53,290.9500732421875,15420.353881835938,18.249988819152833
2019-05-30,GODFRYPHLP,SELL(100DMA),53,278.51513671875,14761.30224609375,15.255805871337891
2019-05-30,GODFRYPHLP,BUY(replacement),55,278.51513671875,15318.33251953125,18.129246536865235
2019-05-31,GODFRYPHLP,SELL(100DMA),55,274.7274169921875,15110.007934570312,15.616193200378417
2019-05-31,GODFRYPHLP,BUY(replacement),56,274.7274169921875,15384.7353515625,18.20783428857422
2019-06-03,GODFRYPHLP,SELL(100DMA),56,268.06219482421875,15011.48291015625,15.514367587646484
2019-06-03,MUTHOOTFIN,SELL(rotation),27,573.4269409179688,15482.527404785156,16.00119207284546
2019-06-03,TITAN,SELL(rotation),13,1236.4630126953125,16074.019165039062,16.61249880706787
2019-06-03,BAJAJFINSV,BUY,18,832.1970825195312,14979.547485351562,17.728294448913577
2019-06-03,DIVISLAB,BUY,10,1539.877685546875,15398.77685546875,18.224452408447267
2019-06-03,NAUKRI,BUY,34,451.3870849609375,15347.160888671875,18.163364911743162
2019-06-04,DIVISLAB,SELL(100DMA),10,1511.390380859375,15113.90380859375,15.62021958618164
2019-06-04,DIVISLAB,BUY(replacement),10,1511.390380859375,15113.90380859375,17.887305157470703
2019-06-06,DIVISLAB,SELL(100DMA),10,1505.673828125,15056.73828125,15.561139013671875
