date,value
2016-01-04,100000.0
2016-02-01,100000.0
2016-03-01,100000.0
2016-04-01,100000.0
2016-05-03,100000.0
2016-06-01,100000.0
2016-07-01,100000.0
2016-08-01,100000.0
2016-09-01,100000.0
2016-10-03,100000.0
2016-11-01,100000.0
2016-12-01,100000.0
2017-01-03,100000.0
2017-02-01,99411.02922149659
2017-03-01,97685.1799562378
2017-04-03,94035.14937448122
2017-05-02,101260.6131192627
2017-06-01,97442.00073205568
2017-07-03,94139.75497412111
2017-08-01,102265.40533953859
2017-09-01,108074.4209708252
2017-10-02,108034.68074426272
2017-11-01,112012.93526086428
2017-12-01,107582.27823883056
2018-01-02,106950.68682965088
2018-02-01,108473.13132574463
2018-03-01,105905.72329406739
2018-04-03,105905.72329406739
2018-05-01,105306.31404467774
2018-06-01,117795.6211721802
2018-07-02,119400.08166094973
2018-08-01,121454.59699530031
2018-09-03,119979.16460662843
2018-10-01,112461.15746969607
2018-11-01,105774.11366807559
2018-12-03,105774.11366807559
2019-01-02,105774.11366807559
2019-02-01,105774.11366807559
2019-03-01,105774.11366807559
2019-04-01,105165.59111997989
2019-05-01,105055.8260442963
2019-06-03,102080.17994209292
2019-07-01,106075.35211686708
2019-08-01,103959.97140336611
2019-09-02,103154.30129618838
2019-10-01,105620.8650901337
2019-11-01,104311.40522917177
2019-12-02,104120.63764537052
2020-01-02,103522.04948960879
2020-02-03,104461.12210180666
2020-03-02,104461.12210180666
2020-04-01,104461.12210180666
2020-05-01,104461.12210180666
2020-06-01,104461.12210180666
2020-07-01,104461.12210180666
2020-08-03,104461.12210180666
2020-09-01,104461.12210180666
2020-10-01,104461.12210180666
2020-11-02,104461.12210180666
2020-12-01,103893.24265869142
2021-01-04,113893.27521972657
2021-02-01,110914.3849560547
2021-03-01,113685.42710461427
2021-04-01,116295.54871276856
2021-05-04,127685.72732360841
2021-06-01,130962.99909811403
2021-07-01,143013.31498721315
2021-08-02,136275.89760601043
2021-09-01,136523.69093657687
2021-10-01,128476.14825664522
2021-11-01,131521.4460058823
2021-12-01,130223.58262151337
2022-01-04,132446.74084617617
2022-02-01,128222.5415170746
2022-03-01,123176.92308372498
2022-04-01,130724.22447276308
2022-05-03,129521.98548350525
2022-06-01,136490.13797984313
2022-07-01,120863.9461594391
2022-08-01,120191.03419047549
2022-09-01,114458.53843881228
2022-10-03,114458.53843881228
2022-11-01,114458.53843881228
2022-12-01,113831.62406552126
2023-01-03,113182.51927401735
2023-02-01,113886.45861590578
2023-03-01,115256.69277490236
2023-04-03,110539.19238098146
2023-05-02,109580.94880227663
2023-06-01,108265.57468832399
2023-07-03,108265.57468832399
2023-08-01,107627.09509466554
2023-09-01,108669.34658967592
2023-10-02,108669.34658967592
2023-11-01,108669.34658967592
2023-12-01,108669.34658967592
2024-01-02,108065.63246672058
2024-02-01,104474.00699566651
2024-03-01,108005.80806507109
2024-04-02,114136.06040088653
2024-05-01,111973.30736676787
2024-06-03,120109.78375385284
2024-07-01,115024.74298796844
2024-08-01,119194.2660917282
2024-09-02,119682.2469877243
2024-10-01,124123.54452654265
2024-11-01,126735.36022863006
2024-12-02,129583.58827950286
2025-01-02,130483.69611544037
2025-02-03,130007.53238149261
2025-03-03,147784.0421776352
2025-04-01,141298.80050600434
2025-05-01,142052.27252724458
2025-06-02,151383.36166835786
2025-07-01,154511.14072109223
2025-08-01,167165.88403774262
2025-09-01,171056.96671669767
2025-10-01,178111.0250052719
2025-11-03,183870.41984609223
2025-12-01,189365.69374013518
2026-01-02,211385.0738670883
2026-02-02,223093.970229393
2026-03-02,223712.34883150482
2026-04-01,205302.27743062592
2026-05-01,198940.78949288177
