Date,AAL,ANTO,AUTO,AV,AZN,BAE,BARC,BATS,BLND,BP,BT-A,CNA,COB,COG,CTEC,DGE,DLG,DPLM,EXPN,FDM,FRES,GKN,GLEN,GSK,HIK,HLMA,HSBA,ICG,IMB,IMI,IPG,JD,LAND,LGEN,LLOY,LXI,MKS,MNG,MONY,NEM,NG,NWG,NXT,OCDO,PRU,QQ,RIO,RR,SAGE,SBRE,SBRY,SDRC,SGRO,SHEL,SN,SPX,SSE,STAN,SVT,TLW,TSCO,ULVR,UU,VMUK,VOD,WEIR,WPP
2016-01-04,14176614,2330765,1401502,8712541,2243185,,28332220.0,2011778,3874769,30115031.0,11237676,13760594,,6000,,3236800.0,,170065,1994181,3786,1406652,,50153069.0,10870514,343280,612698,23664136.0,401112,2138445.0,541062,,3315325,1867639,16944351,131789192,,10854380,,758693,,5670823,8012316,1163269,5525238,6409312,894814,5641577.0,12384332.0,,,7610953,,764317,9153230,2971021.0,134909,2622561,11103672,584081,7721990,20247630,2375375,2285290,,73377483,982749,2657413.0
2016-01-05,10908087,3324256,1172108,6369304,2333997,,20472926.0,1887620,2729784,23383274.0,8835111,11516669,,6726,,3491621.0,,63595,1478903,499567,1103348,,47396932.0,9308913,265071,353585,18505161.0,441664,1629294.0,504682,,11483675,1604327,13163572,133545553,,10046836,,773458,,6215877,8947362,2064131,3163466,4493562,736536,4257560.0,11555403.0,,,19315051,,1105659,7015234,2031186.0,54909,2217410,8238411,491081,7444554,26238234,1562010,2014327,,54065200,882415,2284617.0
2016-01-06,14229478,2261401,2002029,5627124,1975341,,26042785.0,2083089,3366403,28972711.0,12225381,8872684,,4603,,3234398.0,,271381,1403200,10879,1272699,,68430671.0,7093568,273852,427918,40640974.0,570842,2006350.0,541276,,1759050,2293826,10970670,128433516,,7620242,,2754864,,8651270,7220610,1041724,3288496,5898889,1189423,6030597.0,11865910.0,,,12092234,,1179637,7207889,2085731.0,63259,2040616,8294678,423378,10831682,22995322,2268276,1282984,,56716589,976940,2355585.0
2016-01-07,21518528,3810553,2346245,7829238,3841926,,41970431.0,3141186,3720978,59009866.0,16098611,16941689,,5000,,4497364.0,,406111,2413989,39224,1629995,,112820681.0,9191899,366859,698061,51224409.0,490629,2631880.0,825222,,4341550,2702017,21018463,215183324,,19434249,,1367548,,8694850,10811659,1162761,3688545,8252970,2351487,7370506.0,22145490.0,,,8852420,,1631996,12961501,2797101.0,113522,3296685,10959932,576430,12686851,25330758,2346928,1342773,,95420191,1091769,4433133.0
2016-01-08,15147909,2704439,2082391,5752467,2210583,,42733252.0,2104037,2931876,38890589.0,12134136,11050727,,0,,4104443.0,,194577,2117148,7580,1142838,,70280730.0,10572784,258725,746145,29190845.0,467540,2012642.0,644970,,8509950,1865189,12428502,128699010,,13026744,,1087584,,6261568,7435567,828493,4517672,5998217,1056649,5984515.0,33320177.0,,,8140925,,1132214,14597957,1760369.0,75229,2458409,9122348,509552,10485043,29796711,2239898,1448703,,90441040,930412,3058679.0
2016-01-11,17535913,4114658,1881769,5960897,2126247,,45116284.0,2006371,3690521,36482011.0,13735514,9070797,,50329,,3295946.0,,92706,2622910,3235,825435,,68568227.0,7524082,239262,784440,22280445.0,418987,1311858.0,420908,,11866275,1900790,11779164,220833823,,7025669,,1233181,,4391965,10022785,558749,3666584,5021562,2109214,6158561.0,26615007.0,,,16629715,,1348984,14085300,1803359.0,84347,2250264,7522902,448241,10490735,18452315,1443461,1188354,,53517729,1278157,3077715.0
2016-01-12,19869255,5349282,2999183,7180066,2382466,,31436248.0,2588877,2917285,46002966.0,13549276,13206860,,3000,,3954268.0,,42814,2255517,17015,1553711,,104098330.0,8512859,307578,712141,27609840.0,623934,1839815.0,1238726,,6619675,1902534,15594270,132281416,,6022549,,1276729,,4665610,7591550,587753,3730831,6562272,1592682,6504489.0,14043720.0,,,13900613,,1320988,10755613,2479558.0,57995,2797564,8404650,815775,16029469,34202561,2598113,1262094,,45845286,1042280,2847311.0
2016-01-13,18802515,3773527,3777727,11355205,1767056,,41349239.0,2589110,6249780,55594231.0,10121566,11552245,,0,,4540437.0,,43747,2674063,4516,1214005,,73790102.0,7175683,278726,729479,21091245.0,451414,1686336.0,994223,,12202450,1521338,9906656,179968457,,5399485,,1988376,,5289707,11454056,735234,3243266,4262875,4094814,6226491.0,9160123.0,,,13334345,,3643433,16629247,3200448.0,239590,2458529,6580384,858426,17084770,32386197,2626457,1292743,,37429473,1154297,3577066.0
2016-01-14,23341131,8836452,6014292,8955679,2123026,,57104764.0,2820897,4656829,61223405.0,13519509,20226903,,4974,,5947662.0,,93084,2480585,27556,1157912,,113229041.0,11656042,473727,878676,32574578.0,777582,1774830.0,1050033,,9597525,2855055,16432355,242747694,,7275323,,1540077,,10028259,10816538,717771,2934312,6122722,1602359,6571019.0,16740039.0,,,9534015,,2718980,14169880,2715438.0,181185,3602631,12052679,850680,16791924,49652874,2351931,1559232,,64649503,1431321,3201997.0
2016-01-15,21409838,4336389,5160675,9731466,2934556,,49774602.0,4483861,5637689,53838443.0,18301314,15674270,,0,,6935980.0,,51039,4095095,7,1718941,,108736168.0,13945370,463960,671771,52475728.0,571587,1964480.0,852866,,15496250,3636131,16113060,246968470,,6710887,,5631360,,7852612,16830940,912569,4532801,8461810,1120489,7765539.0,24465866.0,,,9106022,,2798903,14441637,2642687.0,126489,3375472,10408104,1126416,12516054,33729003,2824760,1585709,,76361968,945086,4208457.0
