effective_date,ticker,sector
2005-09-26,360ONE,Financial Services
2005-09-26,3MINDIA,Diversified
2005-09-26,ABAN,Oil Gas & Consumable Fuels
2005-09-26,ABCAPITAL,Financial Services
2005-09-26,ACC,Construction Materials
2005-09-26,ADANIENT,Metals & Mining
2005-09-26,AIIL,Financial Services
2005-09-26,AKZOINDIA,Chemicals
2005-09-26,ALEMBICLTD,Healthcare
2005-09-26,ALFALAVAL,Capital Goods
2005-09-26,ALOKINDS,Textiles
2005-09-26,AMBUJACEM,Construction Materials
2005-09-26,AMTEKAUTO,Automobile and Auto Components
2005-09-26,ANTHEM,Healthcare
2005-09-26,APLAPOLLO,Capital Goods
2005-09-26,APOLLOHOSP,Healthcare
2005-09-26,APOLLOTYRE,Automobile and Auto Components
2005-09-26,ARVIND,Textiles
2005-09-26,ASAHIINDIA,Consumer Durables
2005-09-26,ASHOKLEY,Capital Goods
2005-09-26,ASIANHOTNR,Consumer Services
2005-09-26,ASIANPAINT,Consumer Durables
2005-09-26,ASTRAZEN,Healthcare
2005-09-26,AUROPHARMA,Healthcare
2005-09-26,AWL,Fast Moving Consumer Goods
2005-09-26,AXISBANK,Financial Services
2005-09-26,BAJAJ-AUTO,Automobile and Auto Components
2005-09-26,BAJAJHIND,Fast Moving Consumer Goods
2005-09-26,BALRAMCHIN,Fast Moving Consumer Goods
2005-09-26,BANKBARODA,Financial Services
2005-09-26,BANKINDIA,Financial Services
2005-09-26,BDL,Capital Goods
2005-09-26,BEL,Capital Goods
2005-09-26,BEML,Capital Goods
2005-09-26,BERGEPAINT,Consumer Durables
2005-09-26,BHARATFORG,Automobile and Auto Components
2005-09-26,BHARTIHEXA,Telecommunication
2005-09-26,BHEL,Capital Goods
2005-09-26,BHUSHAN,Metals & Mining
2005-09-26,BILT,Fast Moving Consumer Goods
2005-09-26,BIOCON,Healthcare
2005-09-26,BLUEDART,Services
2005-09-26,BOMBAYDYEING,Textiles
2005-09-26,BONGAIREFN,Oil Gas & Consumable Fuels
2005-09-26,BOSCHLTD,Automobile and Auto Components
2005-09-26,BPCL,Oil Gas & Consumable Fuels
2005-09-26,BRITANNIA,Fast Moving Consumer Goods
2005-09-26,BSE,Financial Services
2005-09-26,CANBK,Financial Services
2005-09-26,CENTURYTEX,Textiles
2005-09-26,CGPOWER,Capital Goods
2005-09-26,CHAMBLFERT,Chemicals
2005-09-26,CIPLA,Healthcare
2005-09-26,COCHINSHIP,Capital Goods
2005-09-26,COFORGE,Information Technology
2005-09-26,COLPAL,Fast Moving Consumer Goods
2005-09-26,CONCOR,Services
2005-09-26,CUMMINSIND,Capital Goods
2005-09-26,DABUR,Fast Moving Consumer Goods
2005-09-26,DCHL,Media
2005-09-26,DCMSHRIRAM,Chemicals
2005-09-26,DISHMAN,Chemicals
2005-09-26,DIVISLAB,Healthcare
2005-09-26,DIXON,Consumer Durables
2005-09-26,DRREDDY,Healthcare
2005-09-26,EICHERMOT,Automobile and Auto Components
2005-09-26,EIDPARRY,Fast Moving Consumer Goods
2005-09-26,ENRIN,Capital Goods
2005-09-26,ESSELPACK,Capital Goods
2005-09-26,ETERNAL,Consumer Services
2005-09-26,FACT,Chemicals
2005-09-26,FEL,Textiles
2005-09-26,FKOCL,Healthcare
2005-09-26,FLUOROCHEM,Chemicals
2005-09-26,FORTIS,Healthcare
2005-09-26,GATEWAY,Services
2005-09-26,GEPIL,Capital Goods
2005-09-26,GESHIP,Services
2005-09-26,GIPCL,Power
2005-09-26,GLAXO,Healthcare
2005-09-26,GMRAIRPORT,Services
2005-09-26,GNFC,Chemicals
2005-09-26,GODFRYPHLP,Fast Moving Consumer Goods
2005-09-26,GODREJCP,Fast Moving Consumer Goods
2005-09-26,GOKALDAS,Textiles
2005-09-26,GRASIM,Construction Materials
2005-09-26,GROWW,Financial Services
2005-09-26,GSFC,Chemicals
2005-09-26,GTL,Information Technology
2005-09-26,GUJALKALI,Chemicals
2005-09-26,GUJGASLTD,Oil Gas & Consumable Fuels
2005-09-26,GUJNRECOKE,Metals & Mining
2005-09-26,HAVELLS,Consumer Durables
2005-09-26,HCC,Construction
2005-09-26,HCLINSYS,Information Technology
2005-09-26,HCLTECH,Information Technology
2005-09-26,HDBFS,Financial Services
2005-09-26,HDFCBANK,Financial Services
2005-09-26,HEROMOTOCO,Automobile and Auto Components
2005-09-26,HEXT,Information Technology
2005-09-26,HIKAL,Chemicals
2005-09-26,HIMATSEIDE,Textiles
2005-09-26,HINDALCO,Metals & Mining
2005-09-26,HINDPETRO,Oil Gas & Consumable Fuels
2005-09-26,HINDUJAVEN,Diversified
2005-09-26,HINDUNILVR,Fast Moving Consumer Goods
2005-09-26,HINDUSTANUNILVR,Fast Moving Consumer Goods
2005-09-26,HMT,Capital Goods
2005-09-26,HOTELEELA,Consumer Services
2005-09-26,HUDCO,Financial Services
2005-09-26,HYUNDAI,Automobile and Auto Components
2005-09-26,IBP,Oil Gas & Consumable Fuels
2005-09-26,ICICIAMC,Financial Services
2005-09-26,ICICIBANK,Financial Services
