date,value
2018-01-02,100000.0
2018-02-01,100000.0
2018-03-01,100000.0
2018-04-02,100000.0
2018-05-01,100000.0
2018-06-01,100000.0
2018-07-02,100000.0
2018-08-01,100000.0
2018-09-04,100000.0
2018-10-01,100000.0
2018-11-01,100000.0
2018-12-03,100000.0
2019-01-02,100000.0
2019-02-01,100000.0
2019-03-01,100000.0
2019-04-01,102910.35532213959
2019-05-01,103204.94075760394
2019-06-03,105312.20187916688
2019-07-01,105312.20187916688
2019-08-01,106501.44017567567
2019-09-03,111876.00852104768
2019-10-01,109190.1395230458
2019-11-01,109583.06752530782
2019-12-02,106125.86096797194
2020-01-02,115553.40824732985
2020-02-03,117576.29994774587
2020-03-02,115117.51520904861
2020-04-01,96818.1785131774
2020-05-01,96818.1785131774
2020-06-01,96818.1785131774
2020-07-01,101735.5010534606
2020-08-03,115879.06020709871
2020-09-01,131866.22156733053
2020-10-01,125698.9262777793
2020-11-02,115970.547143443
2020-12-01,143687.27734516418
2021-01-04,156488.62626655953
2021-02-01,165740.12639266718
2021-03-01,157930.13617813194
2021-04-01,154896.37568635592
2021-05-03,160559.70160080265
2021-06-01,167368.90092503146
2021-07-01,165621.26127667126
2021-08-02,158863.85270260804
2021-09-01,164744.58209069207
2021-10-01,153645.80668991644
2021-11-01,167941.784070669
2021-12-01,171418.26846504887
2022-01-03,179994.1919250027
2022-02-01,157171.85764576256
2022-03-01,145890.24206730697
2022-04-01,145890.24206730697
2022-05-02,141620.01590847326
2022-06-01,141620.01590847326
2022-07-01,141620.01590847326
2022-08-01,141620.01590847326
2022-09-01,141620.01590847326
2022-10-03,141620.01590847326
2022-11-01,141620.01590847326
2022-12-01,141620.01590847326
2023-01-03,134017.89959305388
2023-02-01,134017.89959305388
2023-03-01,132966.1406961636
2023-04-03,132916.42054923106
2023-05-01,129823.31812569746
2023-06-01,131348.8826608045
2023-07-03,137681.6327586227
2023-08-01,144302.71008635097
2023-09-01,147407.75004149013
2023-10-02,140300.215208422
2023-11-01,139668.2633352084
2023-12-01,139668.2633352084
2024-01-02,144042.78980157804
2024-02-01,162812.63036038307
2024-03-01,185088.82425274287
2024-04-01,187147.6162144128
2024-05-01,172801.27762572133
2024-06-03,199167.15748648567
2024-07-01,213139.55654959602
2024-08-01,196255.49026748887
2024-09-03,199159.62219618258
2024-10-01,212355.28890608248
2024-11-01,213161.1070071859
2024-12-02,216868.9706830298
2025-01-02,224021.38726532384
2025-02-03,232455.86433343668
2025-03-03,214914.47893220655
2025-04-01,197766.8929052995
2025-05-01,197766.8929052995
2025-06-02,197766.8929052995
2025-07-01,198928.0741263078
2025-08-01,192565.95756714235
2025-09-02,201616.60316447695
2025-10-01,211924.0558103092
2025-11-03,206739.99326762205
2025-12-01,206262.9351290954
2026-01-02,227150.53386871942
2026-02-02,258050.48760077934
2026-03-02,248188.46204195256
2026-04-01,234670.60966743238
2026-05-01,234670.60966743238
