Date,AAPL,ABBV,ABNB,ABT,ACN,ADBE,AEP,AMAT,AMD,AMGN,AMT,AMZN,APD,AVGO,AXP,BA,BAC,BKNG,BLK,BRK-B,BSX,C,CAT,CCI,CCL,CI,CL,CMCSA,CME,COP,COST,CRM,CSCO,CVS,CVX,D,DE,DHR,DIS,DLR,DUK,EA,ECL,ELV,EMR,EOG,EQIX,ETN,EXC,F,FCX,FDX,GE,GILD,GIS,GM,GOOGL,GS,HAL,HD,HON,IBM,ICE,INTC,ISRG,JNJ,JPM,KLAC,KO,LIN,LLY,LMT,LOW,LRCX,MA,MCD,MCHP,MDLZ,META,MLM,MMM,MO,MPC,MRK,MS,MSFT,MU,NEE,NEM,NFLX,NKE,NOC,NOW,NUE,NVDA,O,ORCL,OXY,PEP,PFE,PG,PH,PLD,PM,PSX,QCOM,RCL,REGN,ROK,RTX,SBUX,SCHW,SHW,SLB,SO,SPG,SPGI,SYK,T,TJX,TMO,TMUS,TSLA,TTWO,TXN,UNH,UPS,V,VLO,VMC,VRTX,VZ,WELL,WFC,WMT,XEL,XOM,ZTS
2018-01-02,102223600,4561300,,10112800,3061900,2432800,3016800,9819500,44146300,2301100,1880600,53890000,1051900,33135000,2746700,2978900,57121600,11887500,526400,4113000,9980500,15819800,5108400,2036100,2783800,1115900,4352500,19494410,1080900,3985200,2509300,4669200,20135700,5878300,5626000,2163600,1897600,4087646,11014300,1224400,3167900,4599100,940700,1291400,3086500,1899800,614300,2814900,7224506,20773300,21899900,2461300,16185981,7905100,4103600,6934600,31766000,2258300,7269200,4684700,3169995,4395815,3195300,23370800,2483700,6842100,13578800,1689000,10872200,1067600,3456700,1189600,6572600,20373000,3168900,3696900,3266200,6516100,18151900,994800,3505476,5917300,3055900,10556504,6644600,22483800,37097000,4766400,5325800,109669000,6511000,715000,6413500,3755900,355616000,1672872,25380000,2830000,4165800,17059833,7558900,855400,1532200,5126800,1222300,6329600,1317400,621800,613400,4918591,7216000,7220800,1099500,8678200,7278800,1442900,941800,1060800,42626974,6881400,1140900,2192400,65283000,1569300,4236200,3485000,5413000,6080900,3582900,1869700,1382000,16045300,1997300,13819300,30451500,2443400,11469300,2135600
2018-01-03,118071600,4702300,,5683700,2064200,2561200,2235700,10898900,154066700,3084000,1770500,62176000,798200,31161000,2976400,3211200,57865700,13125000,448700,3526700,8543000,14657900,4146100,2078900,2807500,1362800,3310000,22474114,1340500,4105800,3364400,3888700,29536000,6139500,5805500,14587400,1392300,2791236,9237900,1472800,2690200,3210600,764500,1302000,3308800,3068400,464600,4255900,6750350,29765600,20673600,2149600,17000180,6640000,3118800,14591600,31318000,2988200,11181900,4530500,7015701,9875914,4312600,116479000,2365500,5350500,11901000,2734100,12635600,1427900,3078400,893400,4572000,25833000,3732400,3789600,5060000,8633800,16886600,781400,2623665,6036400,4844000,11090460,6955500,26061400,43376700,11008000,5143600,85914000,6091100,722100,7904500,3772500,914704000,1593408,24165000,3463300,4224000,14183151,5863600,650600,1650100,3589600,1351700,6844200,2295100,721300,841400,7958983,7478400,5522700,1014600,9529200,6292800,1849300,808400,1398700,51851150,9258800,1458300,2610800,67822500,1451500,6918900,2417600,5655600,6946100,3057600,2600900,1604000,16662400,1832600,14203700,26710800,4114900,13957700,2328200
2018-01-04,89738400,3579000,,6240000,1777000,2211400,3392100,9462800,109503000,2021100,1729600,60442000,932400,19067000,3122000,4171700,76512500,14815000,389800,3900000,7928600,16864900,4865800,2240400,3050300,888600,2501700,19359435,1551000,4897200,3525800,4540200,20731400,13715500,4598300,7146600,1747000,2397226,7417400,1458500,2475800,3777900,723200,1063000,2806400,2125000,450500,3936400,6630619,37478200,19540500,2600400,17225995,5074600,3211100,17298700,26052000,2583200,10142700,4047400,4977610,7903785,3035000,89209100,2696400,4837600,12953700,1925500,12709400,1896800,2462500,1443000,3542800,22272000,3247200,2756400,3292600,8718800,13880900,797400,2682748,6177300,3156400,15751650,8678800,21912000,52229500,13629200,3876000,60296000,5780500,582400,6809500,2529300,583268000,1939334,19815100,2706100,3147000,13046517,6322500,823000,2128500,4170100,1110600,5060100,1118100,650100,734300,5820666,5775900,5310400,1669500,12252300,5231500,2159500,727400,861700,36894187,7599800,1566400,2384400,149194500,1319300,5460400,2749100,5473100,7805300,2977000,1325900,1345100,12062800,1993500,18740500,20491200,2807000,10863000,2534000
2018-01-05,94640000,4599300,,5836900,1597600,2376500,2967900,10902200,63808900,2211400,2119400,70894000,742200,28633000,2550300,6177700,56445200,8965000,483000,4207600,14260400,15300500,3945400,1769400,3793500,755000,2852800,18147003,953900,3771900,2819000,3368400,24588200,15338100,4189200,5758300,1574400,2121430,6008300,1066900,3827200,5963000,1048900,1427600,3118800,2221200,335800,2398900,10013224,46121900,13870600,2863900,16667865,7901100,2308100,9643300,30250000,2594700,8617300,4224800,2744244,5434807,2152200,41824000,2098500,6158800,14155000,1469000,13113100,1699500,2946300,1241100,5524200,17130000,2747700,3737700,2962000,10811500,13574500,558200,2195736,6383400,3512300,9955057,6476000,23407100,47381100,10318000,2877300,70332000,11632300,842800,5915000,2660800,580124000,1471219,14496400,3240300,2714200,13167517,5949700,721600,2825800,4641400,1752500,5421800,1181900,461100,627400,5835444,6047700,5696200,1619100,8552700,6120500,2126500,688300,962700,29386048,7729000,1469500,3292600,68868000,1513600,5254900,2432800,3699200,8590500,2973800,1285300,1940000,13348900,2003300,14217900,21852000,3728000,11047600,2166100
2018-01-08,82271200,5582000,,5411500,2616900,2088000,5715500,12658000,63346000,2356200,1882100,85590000,802100,20971000,1896500,4124900,42914800,13890000,561500,3887900,10847100,14215700,5929200,1776500,2027100,1130900,1688600,16207197,1118100,4522900,1961800,2933600,16582000,9589200,4826100,5570000,2711800,2038522,8052600,834700,3560000,4579100,1099900,1630800,2334700,1934400,532500,1818200,15116925,33828300,15237200,1956000,17130657,5858500,3332700,13099600,24644000,2940500,7611900,3508500,3033060,5478425,1952000,33733800,2977500,5129800,12466500,772700,7068600,936700,3251400,1084500,6191600,27627000,3143100,2060800,2168600,8140300,17994700,573800,2235324,6054800,3212600,11642546,6681400,22113000,32217400,7225200,4719800,55802000,11905700,660800,6686000,3118200,881216000,1133342,15075000,3174600,5730400,19964341,4860700,974700,2333300,4911600,1236500,4266900,1023800,1117800,765700,10526807,6335800,4803600,1276200,9778900,7945500,1874900,948300,1240300,35276524,7883000,1974600,3606000,147891000,1591400,4549400,2850800,3243000,6660700,2493400,993300,1987000,16212700,1623200,15569400,26531700,3837600,10927100,3631400
2018-01-09,86336000,4055400,,7466900,3204700,1804300,4323700,13564900,62560900,3031700,1581600,73226000,834500,26027000,2978500,5641300,69479100,9220000,547700,3834900,24987900,14209500,4522900,1031900,3469900,1280200,2518300,18166742,944800,5519700,2241900,3302300,21449800,7778400,4422300,3484800,4345200,4917178,5838000,947300,2781700,4111700,887400,1777100,3367600,1944100,397500,2216000,10745349,27924100,32628500,1648300,13855205,14824100,2865600,7768100,26808000,2637300,8587400,3012300,3754711,4541523,2413600,44282300,4203300,8897000,13292300,866900,9962400,3366400,2426000,865400,4112200,29550000,2573900,2674300,4446600,5805300,12393100,656900,2027340,6269300,2980300,11142022,6622700,19484300,62982900,6527600,3902600,61259000,8771300,828900,6529000,3289300,497000000,1985258,14153700,2985100,4573600,16876226,6630100,728500,2306100,3939200,1537000,7632300,1191800,1207600,489400,6724489,5233400,6660600,1569600,9370300,5694500,1720900,906200,1817400,37152896,8376400,1845200,5334400,107199000,1704800,4747800,2672200,2957700,6562400,3884900,1229000,1487700,14677800,2032800,15766500,21938100,3006300,8131600,2721800
2018-01-10,95839600,4608600,,4340800,1624100,1664300,3978400,14537200,52561200,2542700,3330500,53720000,902700,31607000,2279200,4479300,63532800,6855000,483800,3793100,13011000,14008000,5478600,4849400,3300600,1113600,3138300,21551373,1182900,4627900,2609500,3113300,19473000,8772200,5292200,3978200,5473700,2780069,6060000,1650600,3227200,2493600,881000,851200,2411300,4750900,636300,2126800,6890550,56517100,28035200,1644400,17177522,10150400,3097200,18281500,20734000,2927200,9714200,3119500,2836236,4366109,2487000,45735000,6130800,6558600,15834500,1439500,10700700,2416800,1674600,1504600,2778000,35108000,2416900,2172500,3984400,6494700,10529900,631400,1962516,6709900,2719400,9497395,11028800,18652200,53348000,7042800,3542100,59515000,5010600,676100,9518500,2539300,582664000,3772682,13476600,4094300,3363900,18755825,6564700,993700,2791700,3696500,977500,6569300,1015000,805800,543400,5216528,8656500,9043300,1050600,10017600,7197000,1339500,935700,1255000,54388066,6656800,1421200,3597000,64648500,1394900,5737400,2311600,2927900,7490300,2391800,1330800,1701000,12593400,3072900,18107500,23791200,2690000,10822300,2257200
2018-01-11,74670800,4240900,,4240900,1809200,1600100,2794200,10694200,38354900,2101300,3244000,62500000,695200,17726000,2745400,4635300,59318300,9647500,765200,3641500,8984300,15459900,4199000,4380700,2632400,1196600,2007400,39162848,1056100,7341800,4678600,3668100,21685600,7158200,11641300,3545900,1958200,2285441,6427000,1714600,4087200,2788800,1563400,1520300,2917300,3828100,606400,1897900,10419524,28342300,21236100,1652100,20808952,7872900,2878400,11245800,22424000,2422400,9086700,3899200,2578638,3969047,2178500,35371500,3824400,4962200,13676800,1000900,7583200,2007100,2647500,1152000,3172600,28164000,2804000,3078000,2155200,6526500,9588600,385500,1779289,7486300,2494500,7447402,8310000,17808900,39402200,7550400,4093300,76595000,5103500,493200,7578500,2027400,406032000,2310958,11687800,5061100,3685200,15102555,5469700,1043100,2161600,4109300,1358600,4233100,1297400,627700,503500,7633874,5806300,5379300,898200,10248700,6867800,1494600,714100,1129600,54813997,5397800,1520600,3149100,99682500,1355600,3903700,2543600,4252300,5982100,2679700,916300,950600,15568200,2414300,22075000,19613100,3020900,14366000,1629300
2018-01-12,101672400,4372600,,6320900,2048800,4246000,6646900,9072300,47149300,3111400,3197300,108874000,648700,19881000,3231500,6559300,66371600,13882500,941800,4184400,8746400,16946700,4127900,2430400,3244000,1151300,2338200,20240990,1108900,6742100,3499500,5749500,23770500,7098200,7232900,4350900,2316500,2136996,5899900,1907400,3211400,3467400,1267000,1916500,3500400,2025300,1090100,2417500,7143470,56979200,14187600,1342900,18169606,6366200,2585300,14914600,38586000,2849200,9026800,6748400,2594357,5263367,1699300,29973600,2797200,5450600,18884200,990600,14570100,2644400,2728900,1428100,14247600,27881000,3041000,2901600,2542600,7179400,77551300,478800,2361263,7413600,2628200,12935569,8998000,24271500,28458500,6386400,5068400,81994000,5135700,706100,5998500,2637300,359916000,2132525,15978200,5781100,4335500,20240700,8111000,862600,2441900,5513700,1849300,5007200,1523800,830700,603200,8285523,6989100,7517000,3062100,9211500,8591200,1238100,711200,1139000,41285233,7825400,1486500,3165200,72376500,1758100,4577800,3943800,4212500,5585800,2873400,915900,1561100,17673700,2686600,25886100,20853600,3422600,9834500,1915700
2018-01-16,118263600,8528600,,7175000,2858700,4595600,3999900,14385000,42686600,3374600,3193900,144414000,1115500,33528000,3814000,12305500,104467900,15122500,1370600,6220000,11087300,26181400,8530600,2844800,3663900,1442400,4580500,20292313,1304100,5458600,2006600,5790800,32845000,8437300,6254200,9056800,2046100,2511830,8069200,1889100,4375300,3570800,1133700,1513800,3899900,4835600,858100,2198500,10847695,53961400,22835400,1668600,42912819,11750200,3961500,20169300,36462000,4445500,10231600,5692700,3788585,8152733,2148000,38367200,3021900,8804000,22703300,1492700,16459300,2754100,4878300,1374900,13570400,42511000,4673400,3662600,3517000,8659500,36183800,707200,2883676,10521000,4401500,50399682,11168500,36599700,38174800,7471600,6917800,135161000,9117000,756100,15751500,4299700,702348000,2066477,17152600,4333100,4936500,30536699,9465300,1237800,2432500,5855600,2601200,24478800,1340300,1003400,779500,8288065,8040700,9365300,2764500,11902500,9767000,1448900,840800,1369600,32739342,7647400,2264300,4669900,97114500,2093000,9251500,6852600,4126500,8803800,3052500,1602800,1834800,14739200,3144800,17907800,21512100,4761900,10882800,2599100
