Date,360ONE,3MINDIA,ABB,ABBOTINDIA,ABCAPITAL,ACC,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,AIAENG,AIIL,AJANTPHARM,ALKEM,AMBUJACEM,ANTHEM,APARINDS,APLAPOLLO,APOLLOHOSP,APOLLOTYRE,ASHOKLEY,ASIANPAINT,ASTRAL,ATGL,AUBANK,AUROPHARMA,AWL,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHFL,BAJAJHLDNG,BAJFINANCE,BALKRISIND,BANKBARODA,BANKINDIA,BDL,BEL,BERGEPAINT,BHARATFORG,BHARTIARTL,BHARTIHEXA,BHEL,BIOCON,BLUESTARCO,BOSCHLTD,BPCL,BRITANNIA,BSE,CANBK,CGPOWER,CHOLAFIN,CIPLA,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,COROMANDEL,CRISIL,CUMMINSIND,DABUR,DALBHARAT,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EICHERMOT,ENDURANCE,ENRIN,ESCORTS,ETERNAL,EXIDEIND,FEDERALBNK,FLUOROCHEM,FORTIS,GAIL,GICRE,GLAXO,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJCP,GODREJIND,GODREJPROP,GRASIM,GROWW,GVT&D,HAL,HAVELLS,HCLTECH,HDBFS,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HEXT,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HONAUT,HUDCO,HYUNDAI,ICICIAMC,ICICIBANK,ICICIGI,ICICIPRULI,IDEA,IDFCFIRSTB,INDHOTEL,INDIANB,INDIGO,INDUSINDBK,INDUSTOWER,INFY,IOC,IPCALAB,IRCTC,IREDA,IRFC,ITC,ITCHOTELS,JINDALSTEL,JIOFIN,JKCEMENT,JSL,JSWENERGY,JSWINFRA,JSWSTEEL,JUBLFOOD,KALYANKJIL,KEI,KOTAKBANK,KPITTECH,KPRMILL,LAURUSLABS,LENSKART,LGEINDIA,LICHSGFIN,LICI,LINDEINDIA,LLOYDSME,LODHA,LT,LTF,LTM,LTTS,LUPIN,M&M,M&MFIN,MAHABANK,MANKIND,MARICO,MARUTI,MAXHEALTH,MAZDOCK,MCX,MEDANTA,MFSL,MOTHERSON,MOTILALOFS,MPHASIS,MRF,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAUKRI,NESTLEIND,NHPC,NIACL,NLCINDIA,NMDC,NTPC,NTPCGREEN,NYKAA,OBEROIRLTY,OFSS,OIL,ONGC,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PFC,PHOENIXLTD,PIDILITIND,PIIND,PNB,POLICYBZR,POLYCAB,POWERGRID,POWERINDIA,PREMIERENE,PRESTIGE,RADICO,RECLTD,RELIANCE,RVNL,SAIL,SBICARD,SBILIFE,SBIN,SCHAEFFLER,SHREECEM,SHRIRAMFIN,SIEMENS,SJVN,SOLARINDS,SRF,SUNDARMFIN,SUNPHARMA,SUPREMEIND,SUZLON,SWIGGY,TATACAP,TATACOMM,TATACONSUM,TATAELXSI,TATAINVEST,TATAPOWER,TATASTEEL,TCS,TECHM,THERMAX,TIINDIA,TITAN,TMCV,TMPV,TORNTPHARM,TORNTPOWER,TRENT,TVSMOTOR,UBL,ULTRACEMCO,UNIONBANK,UNITDSPR,UNOMINDA,UPL,VBL,VEDL,VMM,VOLTAS,WAAREEENER,WIPRO,YESBANK,ZYDUSLIFE
2018-01-01,,2361.0,49258,1527,2837824,123565,,7745247,,2701537,171844240,69536.0,,338041.0,30620.0,1408955,,6859,206490,117565,1308125,20436116,591349,25044,,185152,1629631.0,,6943234,174560,448990,,7651,5353190,195375.0,7408273,4712424,,8166816,1472936,372741.0,4807939,,14221778,1284310,83834,20401.0,3880586,112320,2307195,4383275,3638378,829290,873546,3079260,247916,1066295,334274,171920,200142,7843,339746,272884,,429620.0,195460,4935049,334392,1210405,198470,25798,,1246643,,756083,2320304,,2878195,6557638,198018,16584,512502,115901974,116100,225507,286411,86821,188269,,83589,,466717,1286288,,,6580516,1445743,201102,,4614411,3130578,746852,637405,493.0,2840715,,,7739502,161859,399791,17357407,4483875,456562,343125,287162.0,771099,1788442,5431340,6655386,565936.0,,,,10863895,,6556125,,28633,241789,11091487,,1261616,4663610,,245528,6587075,,67465,451705,,,919832,,46730.0,,,2048058,2654416,,34607,1032734,2476302,662579,1850925,,346559,426354,,,3007580,,273396,10073523,31751,51609,7348.0,155817,1654808,6930461,160420,132120,9844325,90820,654101,21741706,6689762,,,224567.0,6804,1059833,5899565,13293.0,217329,,203048,2140136,8300966,273100.0,320954,15293,7869149,,,6388017,,,99704,1688847.0,6061265,9453202,,11912572,,174646,12182400,4515,3570,1092642,158359.0,976628,4437.0,587170,8905,5314142,37101,76215556,,,547771,1602814,362876,461180,33659894,19249201,1351760,1115837,4943.0,71903,472607,,,141938,2175223,72655,240613,135482,166780,1583719,,232801,1602100,9583413,5729566,,511241,,8934389,4019878,803342
2018-01-02,,1833.0,69302,1578,2614919,277110,,4977129,,1322980,129249815,6918.0,,286905.0,11674.0,981714,,33034,151460,211424,2819943,55313422,516171,36544,,259520,1856956.0,,6292268,297721,791230,,6563,5762080,367192.0,11611821,2637700,,11789442,702008,739161.0,5242199,,23565569,2971036,97774,14797.0,5073166,176798,3176127,7222740,6490959,1742575,1038258,5659389,225714,1976870,322121,233057,733758,14696,338319,595436,,413942.0,201630,5496883,302709,1257685,847930,16874,,1223201,,1773843,3315889,,5056467,5698906,126604,26598,570711,97939344,122487,728892,318208,546391,334784,,29872,,685576,1906518,,,4776316,1219713,258156,,4546324,5421162,695988,911293,1505.0,2494107,,,7046560,221601,1028956,29025353,4912922,1976901,556896,564507.0,1392045,4093118,6112248,7564734,245612.0,,,,5907460,,6309495,,23247,322736,9389819,,2277139,6492650,,205883,5361035,,188860,452570,,,969245,,22228.0,,,1512324,3411570,,98515,1199522,3020597,2356273,1326321,,880910,451227,,,2210860,,1060073,7689180,61170,144476,7345.0,599045,440999,5401032,193270,1312260,9058425,91190,5984250,68009189,10171537,,,130654.0,68279,1233868,12878378,17339.0,47607,,436816,1935456,6970063,193610.0,1289786,38671,13729132,,,4383705,,,244625,907948.0,4650711,9499419,,10713163,,342012,14797364,40430,48021,1420686,413475.0,1297283,15298.0,835355,4865,3839130,17465,95111054,,,548305,2014415,665737,607620,29174233,25896915,1920290,2204383,257085.0,200465,1181949,,,151066,1251589,97284,2759168,196102,141217,2754134,,561319,2827863,28650982,6721641,,751245,,7665379,5224976,348082
2018-01-03,,4750.0,63302,694,2035734,194666,,39032205,,4679468,180547425,72857.0,,245892.0,17756.0,1906004,,78724,508780,261936,1504749,45373136,593809,39284,,241292,1716552.0,,3990149,372267,1194130,,4207,4161360,249791.0,8271671,2542967,,8387208,968451,1073961.0,6333269,,13637110,2077604,135832,12104.0,7741628,166046,3899124,6931120,3765509,1279120,771828,9240120,537860,1551260,351927,314230,223908,24476,414585,1819175,,768114.0,416890,7342607,580610,4430010,470880,76439,,991960,,2078634,2894282,,25657824,8822841,116316,32114,349314,51817116,122799,439615,234920,91452,670232,,23301,,968648,2583906,,,4531288,2275082,274963,,7285874,4510429,832810,882982,15396.0,6345661,,,8898342,61608,561656,18190971,3088116,1761802,813917,402883.0,1120860,2009516,6846552,7841712,842516.0,,,,11443370,,21696089,,23591,370428,5812909,,3279293,12754740,,156160,4420105,,37445,348035,,,928381,,55005.0,,,2720736,3893817,,39455,3960088,2256643,1128833,739321,,1160639,658281,,,1576750,,953859,7157437,132346,58527,9083.0,346999,463883,5485226,142120,558960,12168282,111044,1878916,35985314,12409998,,,243441.0,98373,1695089,8032715,14920.0,269947,,107402,1846460,3907841,1625262.0,1104348,98499,8534233,,,8187397,,,137588,1477942.0,3457506,13507800,,15846529,,125483,13857373,10585,16576,2552621,235894.0,1399717,6850.0,1021420,14371,2182632,15833,36212961,,,692623,2073353,1303199,539850,23056832,27654851,1257120,2288877,51198.0,54103,2606556,,,240528,895484,64624,663896,540133,166916,2243525,,297656,2871907,9847186,8171980,,798896,,5860470,5672263,472672
2018-01-04,,1597.0,170003,887,2105382,278240,,22778210,,1990506,136470070,10926.0,,286371.0,189021.0,2142231,,22829,2230730,263585,2423527,34064038,729965,72284,,224020,1785334.0,,2766664,256909,792050,,6551,7301470,393362.0,17214456,8222419,,13893633,963429,669117.0,5953924,,14450624,1727854,91726,16677.0,5440616,334700,3567015,13793080,4606295,352320,990602,6919578,282812,1383870,104294,1243887,756413,18136,1030993,1107800,,450896.0,368175,4123938,707905,2793085,494210,125919,,1428979,,752325,9282382,,6249153,8777729,183290,18942,557391,59123510,275838,404134,593868,53134,1012807,,195445,,1178675,1193460,,,2373776,2974278,196775,,10346774,4302084,640189,1150153,672.0,4069687,,,6385367,76967,1120810,20726950,3665726,5176843,1146187,330334.0,747232,4247055,8947614,13102707,321336.0,,,,9729737,,44549944,,56961,3537849,5498152,,6281682,5925060,,170850,3919750,,83320,526035,,,880901,,105704.0,,,4546456,4739481,,27738,1924978,1663380,3546144,3945256,,1060147,562919,,,3188550,,2120682,8721525,64590,189039,4477.0,558723,234257,9502424,39185,558040,30920925,93164,1241589,28317752,8712321,,,468362.0,24576,1491507,12740860,14296.0,387460,,493790,1758113,5464042,849810.0,908898,269750,31613344,,,4204055,,,978071,3229039.0,6112743,9008932,,23392017,,411800,24517099,3390,24866,2673614,301083.0,20986590,8110.0,707335,19204,6246746,267522,36366740,,,469534,2703849,404734,277100,6688043,84839667,913082,1460097,81772.0,243242,3028931,,,125282,731877,70436,692455,356222,149645,4391613,,732492,2061667,2377721,8879360,,1081080,,3905556,5667580,523367
2018-01-05,,867.0,109218,2130,3143911,312489,,21144683,,5448214,238315235,124100.0,,425274.0,15305.0,1304360,,17685,1077390,232491,5282717,17939214,1151320,83242,,511032,1520200.0,,3249056,113508,1518180,,10840,9843270,457154.0,11233822,2954958,,10396050,667406,1719262.0,8008838,,19274135,1633394,44900,15105.0,5878478,264116,10548018,9965415,2789287,1050500,1072254,3344950,234256,2123295,311773,325597,76157,30002,275586,1200209,,568810.0,193105,7238574,1244328,3199500,527770,107627,,1289966,,1687260,11491142,,7027626,4680562,127556,24618,823697,40998834,736686,334704,407281,158709,1014661,,73127,,1638665,1492292,,,2870868,3554479,234199,,7084973,5393860,568451,1255238,1061.0,3008707,,,6366054,93994,1232969,131617408,24488254,3523339,750983,267769.0,1134406,1576172,11025976,9219465,238692.0,,,,9566733,,22890636,,31172,1323438,5196211,,8325201,12702760,,192244,10737010,,189285,589295,,,1746240,,68816.0,,,2418902,4401671,,14925,2694063,1255982,3568850,1237293,,1392301,732512,,,921060,,613079,19718957,366282,107123,9189.0,508207,310196,7996016,1009305,199400,8775202,65372,2324252,25013422,12431070,,,552213.0,68647,1298891,6812787,16188.0,80929,,764774,1632589,4089391,679026.0,832830,74244,15500426,,,4923559,,,112158,4396180.0,5400301,7441284,,19505394,,195946,14580575,5425,26615,3591100,304346.0,8676113,6423.0,958555,21198,4600683,65816,44130867,,,720707,1896601,699783,324900,11646646,74902157,1153706,1756809,42328.0,127514,4036882,,,543214,1060647,890540,472957,1422783,165179,3766980,,256891,1330975,24676211,9693755,,1027065,,4301878,30720675,1383248
2018-01-08,,2200.0,144080,6513,4784106,189168,,15147523,,3447843,72986425,20027.0,,181050.0,36617.0,1215089,,28128,733930,505510,2827715,17614216,928875,76468,,596384,2104715.0,,3770339,120330,1810680,,9820,8250220,333029.0,6316362,1859110,,12205740,1229888,1218813.0,12287843,,5822499,4312964,35342,19162.0,9981252,176830,4403295,6076250,8559470,1909415,1061612,4891781,444140,4547385,284048,650715,139886,21919,270149,1129672,,468360.0,191900,3945670,520902,2929355,329240,77748,,1484623,,1134128,14341872,,11714532,9118477,524388,28158,2203458,86988501,563073,375906,612348,189946,898877,,45402,,893255,2353168,,,4570308,3806105,249549,,4157464,3221578,801796,1061554,925.0,3617023,,,7329648,391458,2269846,61767898,56535062,4968711,772552,547692.0,1489032,1754188,5594690,11196861,245484.0,,,,14989106,,38180155,,29626,2047974,3562661,,2686737,7195310,,156639,8902060,,100555,647700,,,3167043,,36814.0,,,3513256,9358091,,16613,3798830,2309604,2591726,745829,,1294585,294549,,,3713895,,480514,9508603,93122,170912,6757.0,980342,259903,6648086,242595,718380,7970259,98018,934015,20098792,7290126,,,424011.0,45766,1484340,4858711,11835.0,53578,,505802,4201024,4469768,827008.0,423796,110079,7302294,,,11797863,,,405343,1959929.0,4920313,8827020,,15714606,,310252,13557197,56625,12610,2865039,602525.0,4777208,10273.0,809145,114017,10475190,24238,21040237,,,628494,2171903,317396,446890,5874354,27125386,1242220,2795379,52958.0,85480,2112170,,,419868,1634150,145863,506381,542395,176265,2094620,,485472,1991223,3762534,5023286,,899786,,4760660,12747890,1665935
2018-01-09,,1203.0,95526,2497,4664375,290610,,8653790,,2509904,94025020,14070.0,,184590.0,8799.0,3305059,,23875,547940,125593,3741055,41835176,699621,382486,,424642,1377494.0,,4607504,324363,2335100,,57349,5127210,705770.0,10305337,2212541,,7031151,1036393,877343.0,7541257,,6319831,1432588,67618,13251.0,7307420,244280,2736018,9509470,4866575,1197150,846158,27639107,707110,1801200,185544,817862,160414,7552,269509,758032,,639168.0,134090,13135536,479684,1219120,827180,12456,,1528277,,1852933,6104764,,6968155,10087073,163538,33144,738487,53556362,976353,356152,243891,870249,1064611,,63572,,757837,2504270,,,5305528,6183645,290158,,5197857,3903997,708386,730304,1822.0,3249760,,,9190909,600903,1645831,45863628,26555292,3873933,460352,311141.0,576106,1659015,9948236,9767769,146958.0,,,,26728897,,14644189,,31640,616707,6502271,,2281715,3779330,,103964,6210530,,60650,243450,,,2274334,,67353.0,,,1703294,6426680,,20127,1729594,1947163,1402999,544286,,503640,427590,,,2575620,,274229,7959306,53662,149874,5587.0,459443,94441,7235701,88540,1168880,7441045,68970,766928,59725037,7868696,,,489975.0,32631,708653,4598757,27699.0,49825,,972048,2206688,4669470,624778.0,1085686,185462,11152776,,,7380366,,,1349582,1102069.0,4572961,14294571,,10358156,,605429,15574755,4510,6939,1356269,494865.0,5750360,50194.0,970295,96026,4025566,19301,133936405,,,1054089,2411068,222252,234950,8661596,33564228,2149396,1855191,278030.0,166365,2419079,,,56404,2228895,90794,1195107,397993,137512,3242698,,659316,1936948,2403472,6677065,,1307594,,12201522,13282560,376650
2018-01-10,,2542.0,74134,3585,2099917,175749,,21411711,,4253925,82076205,40924.0,,193431.0,253512.0,1860881,,22797,321360,136692,3481128,16389758,1102382,74797,,206438,1014264.0,,2411625,296961,2600210,,10099,4067910,235847.0,10993630,3634803,,11870301,3745276,1067063.0,6667296,,15393638,1738816,49068,18250.0,6242816,388758,2054808,9585550,3486222,839510,1207313,15300218,475096,5950565,159804,4055127,632062,8346,363308,894740,,807750.0,176405,10967347,849877,1721640,842020,48872,,472943,,1015569,6205669,,4997597,11441305,205710,35686,4259613,74336093,396426,414211,525463,611451,745166,,70107,,1264788,3400572,,,4615888,2374166,250123,,7472579,5370945,939525,1246861,1570.0,12946868,,,6736971,156240,1304588,38299116,17303759,2334156,768888,1272608.0,1223879,4204087,9468634,12057048,112020.0,,,,17074502,,23437832,,20341,423368,7872406,,2748652,7203090,,105938,3384405,,601635,350380,,,1381286,,37013.0,,,1098019,5815040,,27717,1583387,1275821,1019869,750499,,694363,394826,,,3159760,,844535,9962858,41305,598248,9006.0,1038447,131597,5647579,408000,440920,7974940,32116,511108,50774056,9836607,,,625141.0,52460,2390028,7673209,62848.0,60854,,839036,2441793,3041788,250100.0,899930,247179,9021131,,,8710385,,,285749,1338589.0,4455987,11727682,,9336838,,297500,13064599,5875,12838,4224151,272431.0,2255503,11122.0,542945,115888,2929462,79239,91009478,,,678183,2517494,1783807,6590460,5961340,31392536,3365850,2748547,43160.0,33230,1605433,,,231662,3622501,507594,652353,256271,108721,3373196,,455791,1535887,2244543,7713328,,1116965,,10163032,10385044,919324
2018-01-11,,2864.0,35345,26582,5116838,138505,,10238800,,4415043,53464525,38700.0,,130659.0,35720.0,2869673,,11784,2967230,243414,1633890,20408996,475476,42466,,536650,1449104.0,,2825921,324132,711600,,14997,8184710,417210.0,6879190,2389660,,11858856,1200032,807052.0,5905519,,5567140,1508092,46370,12507.0,5917284,223456,2207691,5764925,6113847,762060,1092456,4703627,2439034,5076835,295973,1127637,138809,9353,342355,557387,,459962.0,307595,6530547,489599,925725,600910,27161,,2240113,,910509,5645154,,25500322,4907362,90392,27026,1913296,65264169,1003920,423516,1729176,411830,755517,,75267,,550622,4243446,,,4059096,2604294,366134,,6502479,3245581,629248,710197,1059.0,3227150,,,8366713,118785,648329,21678340,61336659,1182178,609380,256722.0,4145545,2373477,16775298,3944265,118956.0,,,,11722150,,31832278,,25718,624615,20328552,,1757575,3977540,,232035,10388690,,70775,221950,,,2789635,,19421.0,,,1232290,3543783,,16048,915497,2291617,1819633,783839,,1244144,368996,,,2243335,,587229,9587914,47539,415257,4998.0,1057873,420895,3714320,256455,941200,6438459,43466,945146,67116100,6643371,,,673424.0,47840,887955,5701402,16238.0,167230,,704802,1739226,6628482,374934.0,869212,83044,8683647,,,12305664,,,1120340,1299874.0,4991331,7849171,,7042701,,113144,12298455,61700,33089,3373802,257228.0,2671267,9559.0,808550,28745,5930449,16722,42756542,,,524239,3481202,808184,1204410,7143154,20307574,2520744,3485380,59683.0,668166,1597329,,,127484,1217681,142530,698032,738631,111608,7312933,,354285,1046914,1383058,4128079,,1177079,,5643897,8266126,622725
2018-01-12,,2149.0,339454,5456,5146372,191817,,9577781,,2581486,82643995,20925.0,,160650.0,20768.0,2131954,,27993,2628990,145921,2675592,17764396,390841,30059,,429896,1487183.0,,6013121,193239,2247580,,67441,6063160,334299.0,8826985,3838063,,9999291,755570,954584.0,4847824,,11196848,1705276,186874,19820.0,5617420,257274,8267949,6967765,9705145,1106170,891848,5119534,1201272,1889545,304274,816145,80869,14208,419434,843519,,276559.0,163585,5842102,439434,1778900,596570,33706,,1811869,,1198739,6357353,,11663572,7346438,738232,29582,988132,67314265,365238,259963,307086,140652,793507,,53107,,873027,1980698,,,4336708,5364763,363795,,4435500,5242831,872539,1150056,692.0,2559758,,,11699345,130779,949799,44095180,36576644,1079406,1295418,261753.0,2057925,2834284,18016528,10196628,116828.0,,,,8494789,,17089451,,33130,384930,9095274,,5118636,5329070,,2418444,11603980,,78825,222760,,,1285529,,191998.0,,,1825056,3512675,,14647,1291426,1363265,1416286,596199,,1619595,685141,,,1425810,,506228,9368407,90376,122207,11548.0,414216,1595260,3130789,265045,646820,6161516,43218,577855,17664718,8369301,,,481689.0,26001,1514954,9291346,20268.0,143356,,882260,2824028,5375005,223652.0,1339724,47435,11223630,,,9411915,,,133991,976168.0,4697282,15071161,,9484352,,93456,17594228,2755,83069,5079960,621566.0,1721527,22009.0,2819405,112404,2842683,14859,66353313,,,1240234,14484043,786081,1972200,8351731,22775863,3360314,2790912,32078.0,254450,1874518,,,283490,3863749,388733,1787748,499255,77493,5898335,,470046,2933382,2990857,8144499,,2080069,,8433768,5688676,529949
